State,County,Supercenters & club stores per 1000 pop (% change) 2011-16 (PCH_SUPERCPTH_11_16),Units,FIPS,FID
Alabama,Autauga,-0.142913998,% change,1001,5
Alabama,Baldwin,4.874005465,% change,1003,20
Alabama,Barbour,nan,% change,1005,25
Alabama,Bibb,0.494852649,% change,1007,29
Alabama,Blount,0.0,% change,1009,33
Alabama,Bullock,0.0,% change,1011,37
Alabama,Butler,4.583020285,% change,1013,39
Alabama,Calhoun,36.58607294,% change,1015,43
Alabama,Chambers,0.931280956,% change,1017,47
Alabama,Cherokee,0.881005977,% change,1019,51
Alabama,Chilton,-0.32397901,% change,1021,56
Alabama,Choctaw,0.0,% change,1023,58
Alabama,Clarke,5.059548255,% change,1025,61
Alabama,Clay,0.0,% change,1027,65
Alabama,Cleburne,0.0,% change,1029,67
Alabama,Coffee,-1.528789269,% change,1031,70
Alabama,Colbert,0.381026009,% change,1033,73
Alabama,Conecuh,0.0,% change,1035,80
Alabama,Coosa,0.0,% change,1037,82
Alabama,Covington,1.687797571,% change,1039,88
Alabama,Crenshaw,0.0,% change,1041,90
Alabama,Cullman,95.357255655,% change,1043,98
Alabama,Dale,1.785569188,% change,1045,101
Alabama,Dallas,7.921459045,% change,1047,110
Alabama,DeKalb,0.192372501,% change,1049,112
Alabama,Elmore,-1.518956179,% change,1051,118
Alabama,Escambia,nan,% change,1053,122
Alabama,Etowah,1.584798396,% change,1055,131
Alabama,Fayette,3.095900351,% change,1057,134
Alabama,Franklin,0.601703772,% change,1059,138
Alabama,Geneva,0.0,% change,1061,140
Alabama,Greene,0.0,% change,1063,148
Alabama,Hale,0.0,% change,1065,150
Alabama,Henry,0.0,% change,1067,158
Alabama,Houston,-1.636700489,% change,1069,160
Alabama,Jackson,2.234432938,% change,1071,164
Alabama,Jefferson,5.242287321,% change,1073,171
Alabama,Lamar,0.0,% change,1075,174
Alabama,Lauderdale,50.461443473,% change,1077,176
Alabama,Lawrence,2.452455465,% change,1079,181
Alabama,Lee,-9.350685293,% change,1081,187
Alabama,Limestone,-7.953077916,% change,1083,197
Alabama,Lowndes,0.0,% change,1085,205
Alabama,Macon,0.0,% change,1087,210
Alabama,Madison,33.401793933,% change,1089,217
Alabama,Marengo,5.865162779,% change,1091,220
Alabama,Marion,2.432992447,% change,1093,224
Alabama,Marshall,-1.213135107,% change,1095,231
Alabama,Mobile,24.511874114,% change,1097,240
Alabama,Monroe,nan,% change,1099,250
Alabama,Montgomery,1.078882831,% change,1101,256
Alabama,Morgan,0.999840093,% change,1103,262
Alabama,Perry,0.0,% change,1105,264
Alabama,Pickens,0.0,% change,1107,273
Alabama,Pike,-0.74665061,% change,1109,279
Alabama,Randolph,1.075651169,% change,1111,284
Alabama,Russell,-5.747976004,% change,1113,288
Alabama,St. Clair,44.391417663,% change,1115,292
Alabama,Shelby,-6.24807531,% change,1117,298
Alabama,Sumter,0.0,% change,1119,303
Alabama,Talladega,1.749060782,% change,1121,306
Alabama,Tallapoosa,2.020998669,% change,1123,308
Alabama,Tuscaloosa,-4.645582261,% change,1125,313
Alabama,Walker,3.122628212,% change,1127,317
Alabama,Washington,0.0,% change,1129,319
Alabama,Wilcox,0.0,% change,1131,326
Alabama,Winston,0.0,% change,1133,332
Alaska,Aleutians East,0.0,% change,2013,346
Alaska,Aleutians West,0.0,% change,2016,381
Alaska,Anchorage,43.917427395,% change,2020,400
Alaska,Bethel,0.0,% change,2050,411
Alaska,Bristol Bay,0.0,% change,2060,423
Alaska,Denali,0.0,% change,2068,426
Alaska,Dillingham,0.0,% change,2070,445
Alaska,Fairbanks North Star,30.065008648,% change,2090,454
Alaska,Haines,0.0,% change,2100,462
Alaska,Hoonah-Angoon,0.0,% change,2105,476
Alaska,Juneau,-0.749884277,% change,2110,482
Alaska,Kenai Peninsula,-3.824539228,% change,2122,494
Alaska,Ketchikan Gateway,0.0,% change,2130,514
Alaska,Kodiak Island,0.0,% change,2150,533
Alaska,Lake and Peninsula,0.0,% change,2164,544
Alaska,Matanuska-Susitna,-11.910913055,% change,2170,556
Alaska,Nome,0.0,% change,2180,571
Alaska,North Slope,0.0,% change,2185,614
Alaska,Northwest Arctic,0.0,% change,2188,638
Alaska,Petersburg,0.0,% change,2195,645
Alaska,Prince of Wales-Hyder,0.0,% change,2198,669
Alaska,Sitka,0.0,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,0.0,% change,2240,690
Alaska,Valdez-Cordova,0.0,% change,2261,710
Alaska,Wade Hampton,0.0,% change,2270,725
Alaska,Wrangell,0.0,% change,2275,733
Alaska,Yakutat,0.0,% change,2282,744
Alaska,Yukon-Koyukuk,0.0,% change,2290,753
Arizona,Apache,0.0,% change,4001,761
