State,County,SNAP redemptions per SNAP-authorized stores 2017 (REDEMP_SNAPS17),Units,FIPS,FID
Alabama,Autauga,223185.67835820897,Dollars/store,1001,5
Alabama,Baldwin,157623.13356797185,Dollars/store,1003,20
Alabama,Barbour,257032.07888888888,Dollars/store,1005,25
Alabama,Bibb,227725.24513761466,Dollars/store,1007,29
Alabama,Blount,142860.82556016598,Dollars/store,1009,33
Alabama,Bullock,170993.92131147542,Dollars/store,1011,37
Alabama,Butler,302939.2254180602,Dollars/store,1013,39
Alabama,Calhoun,235151.7624264706,Dollars/store,1015,43
Alabama,Chambers,270507.9227102804,Dollars/store,1017,47
Alabama,Cherokee,174410.52911854102,Dollars/store,1019,51
Alabama,Chilton,179241.60094117647,Dollars/store,1021,56
Alabama,Choctaw,190980.33364161852,Dollars/store,1023,58
Alabama,Clarke,347058.4692165899,Dollars/store,1025,61
Alabama,Clay,116561.48776119403,Dollars/store,1027,65
Alabama,Cleburne,141533.0975342466,Dollars/store,1029,67
Alabama,Coffee,276972.324140625,Dollars/store,1031,70
Alabama,Colbert,166642.45873015875,Dollars/store,1033,73
Alabama,Conecuh,192660.2677894737,Dollars/store,1035,80
Alabama,Coosa,106860.97142857143,Dollars/store,1037,82
Alabama,Covington,209586.83093990752,Dollars/store,1039,88
Alabama,Crenshaw,138518.58655462184,Dollars/store,1041,90
Alabama,Cullman,173747.71680539934,Dollars/store,1043,98
Alabama,Dale,196266.0927272727,Dollars/store,1045,101
Alabama,Dallas,517993.0055725191,Dollars/store,1047,110
Alabama,DeKalb,191554.51763987791,Dollars/store,1049,112
Alabama,Elmore,266212.32598503743,Dollars/store,1051,118
Alabama,Escambia,247229.13457425742,Dollars/store,1053,122
Alabama,Etowah,155505.79382488478,Dollars/store,1055,131
Alabama,Fayette,294341.1657142857,Dollars/store,1057,134
Alabama,Franklin,230148.45188916876,Dollars/store,1059,138
Alabama,Geneva,209348.22775725595,Dollars/store,1061,140
Alabama,Greene,109714.85662921348,Dollars/store,1063,148
Alabama,Hale,225814.76350877192,Dollars/store,1065,150
Alabama,Henry,124707.13192052979,Dollars/store,1067,158
Alabama,Houston,246409.55275609758,Dollars/store,1069,160
Alabama,Jackson,163199.5805076142,Dollars/store,1071,164
Alabama,Jefferson,274152.59474901215,Dollars/store,1073,171
Alabama,Lamar,154912.93275,Dollars/store,1075,174
Alabama,Lauderdale,174954.72257833483,Dollars/store,1077,176
Alabama,Lawrence,216785.0513761468,Dollars/store,1079,181
Alabama,Lee,236835.24069651743,Dollars/store,1081,187
Alabama,Limestone,174496.42393120393,Dollars/store,1083,197
Alabama,Lowndes,116757.38188679246,Dollars/store,1085,205
Alabama,Macon,254555.43555555554,Dollars/store,1087,210
Alabama,Madison,243286.62619379352,Dollars/store,1089,217
Alabama,Marengo,376239.56583941606,Dollars/store,1091,220
Alabama,Marion,308877.2792647059,Dollars/store,1093,224
Alabama,Marshall,263520.1931125828,Dollars/store,1095,231
Alabama,Mobile,268164.0977387713,Dollars/store,1097,240
Alabama,Monroe,231100.92974999998,Dollars/store,1099,250
Alabama,Montgomery,393956.20504096756,Dollars/store,1101,256
Alabama,Morgan,201213.55169491528,Dollars/store,1103,262
Alabama,Perry,225434.97203007518,Dollars/store,1105,264
Alabama,Pickens,140031.3539189189,Dollars/store,1107,273
