State,County,Grocery stores per 1000 pop 2016 (GROCPTH16),Units,FIPS,FID
Alabama,Autauga,0.0542711,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.139752975,"# per 1,000 pop",1003,20
Alabama,Barbour,0.155195158,"# per 1,000 pop",1005,25
Alabama,Bibb,0.220916361,"# per 1,000 pop",1007,29
Alabama,Blount,0.086862861,"# per 1,000 pop",1009,33
Alabama,Bullock,0.2873288,"# per 1,000 pop",1011,37
Alabama,Butler,0.15026296,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.234823448,"# per 1,000 pop",1015,43
Alabama,Chambers,0.207610404,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.19405418,"# per 1,000 pop",1019,51
Alabama,Chilton,0.114077116,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.229885057,"# per 1,000 pop",1023,58
Alabama,Clarke,0.246406571,"# per 1,000 pop",1025,61
Alabama,Clay,0.223713647,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.134471862,"# per 1,000 pop",1029,67
Alabama,Coffee,0.13667337,"# per 1,000 pop",1031,70
Alabama,Colbert,0.147256429,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.079904115,"# per 1,000 pop",1035,80
Alabama,Coosa,0.092515496,"# per 1,000 pop",1037,82
Alabama,Covington,0.160487883,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.287624937,"# per 1,000 pop",1041,90
Alabama,Cullman,0.182211317,"# per 1,000 pop",1043,98
Alabama,Dale,0.121881856,"# per 1,000 pop",1045,101
Alabama,Dallas,0.199595818,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.224668614,"# per 1,000 pop",1049,112
Alabama,Elmore,0.098473658,"# per 1,000 pop",1051,118
Alabama,Escambia,0.106734977,"# per 1,000 pop",1053,122
Alabama,Etowah,0.136284874,"# per 1,000 pop",1055,131
Alabama,Fayette,0.241867215,"# per 1,000 pop",1057,134
Alabama,Franklin,0.316686196,"# per 1,000 pop",1059,138
Alabama,Geneva,0.377130789,"# per 1,000 pop",1061,140
Alabama,Greene,0.235626767,"# per 1,000 pop",1063,148
Alabama,Hale,0.134707348,"# per 1,000 pop",1065,150
Alabama,Henry,0.117013808,"# per 1,000 pop",1067,158
Alabama,Houston,0.163190078,"# per 1,000 pop",1069,160
Alabama,Jackson,0.211339315,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.162183382,"# per 1,000 pop",1073,171
Alabama,Lamar,0.286758907,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.205808122,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.090274434,"# per 1,000 pop",1079,181
Alabama,Lee,0.113219652,"# per 1,000 pop",1081,187
