State,County,Fast-food restaurants per 1000 pop 2016 (FFRPTH16),Units,FIPS,FID
Alabama,Autauga,0.7959767,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.751774622,"# per 1,000 pop",1003,20
Alabama,Barbour,0.892372158,"# per 1,000 pop",1005,25
Alabama,Bibb,0.309282905,"# per 1,000 pop",1007,29
Alabama,Blount,0.39956916,"# per 1,000 pop",1009,33
Alabama,Bullock,0.2873288,"# per 1,000 pop",1011,37
Alabama,Butler,0.901577761,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.826230649,"# per 1,000 pop",1015,43
Alabama,Chambers,0.860100246,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.58216254,"# per 1,000 pop",1019,51
Alabama,Chilton,0.501939311,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.459770115,"# per 1,000 pop",1023,58
Alabama,Clarke,1.026694045,"# per 1,000 pop",1025,61
Alabama,Clay,0.298284862,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.336179654,"# per 1,000 pop",1029,67
Alabama,Coffee,0.780990687,"# per 1,000 pop",1031,70
Alabama,Colbert,0.97557384,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.559328805,"# per 1,000 pop",1035,80
Alabama,Coosa,0.092515496,"# per 1,000 pop",1037,82
Alabama,Covington,0.722195474,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.575249874,"# per 1,000 pop",1041,90
Alabama,Cullman,0.765287529,"# per 1,000 pop",1043,98
Alabama,Dale,0.710977492,"# per 1,000 pop",1045,101
Alabama,Dallas,0.623736933,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.561671534,"# per 1,000 pop",1049,112
Alabama,Elmore,0.480059084,"# per 1,000 pop",1051,118
Alabama,Escambia,0.747144839,"# per 1,000 pop",1053,122
Alabama,Etowah,0.82744388,"# per 1,000 pop",1055,131
Alabama,Fayette,0.786068448,"# per 1,000 pop",1057,134
Alabama,Franklin,0.538366533,"# per 1,000 pop",1059,138
Alabama,Geneva,0.377130789,"# per 1,000 pop",1061,140
Alabama,Greene,0.235626767,"# per 1,000 pop",1063,148
Alabama,Hale,0.673536741,"# per 1,000 pop",1065,150
Alabama,Henry,0.76058975,"# per 1,000 pop",1067,158
Alabama,Houston,1.113532297,"# per 1,000 pop",1069,160
Alabama,Jackson,0.61480528,"# per 1,000 pop",1071,164
Alabama,Jefferson,1.074654375,"# per 1,000 pop",1073,171
Alabama,Lamar,0.430138361,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.769072455,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.451372171,"# per 1,000 pop",1079,181
Alabama,Lee,0.9120472,"# per 1,000 pop",1081,187
Alabama,Limestone,0.55962118,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.097646714,"# per 1,000 pop",1085,205
Alabama,Macon,0.471895973,"# per 1,000 pop",1087,210
Alabama,Madison,0.934574193,"# per 1,000 pop",1089,217
Alabama,Marengo,0.922840297,"# per 1,000 pop",1091,220
Alabama,Marion,0.634984292,"# per 1,000 pop",1093,224
Alabama,Marshall,0.841724272,"# per 1,000 pop",1095,231
Alabama,Mobile,0.665297504,"# per 1,000 pop",1097,240
Alabama,Monroe,0.463563879,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.961555426,"# per 1,000 pop",1101,256
Alabama,Morgan,0.757454616,"# per 1,000 pop",1103,262
Alabama,Perry,0.208986416,"# per 1,000 pop",1105,264
Alabama,Pickens,0.344572976,"# per 1,000 pop",1107,273
Alabama,Pike,1.0236339,"# per 1,000 pop",1109,279
Alabama,Randolph,0.444483954,"# per 1,000 pop",1111,284
Alabama,Russell,0.825068326,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.628700761,"# per 1,000 pop",1115,292
Alabama,Shelby,0.767506976,"# per 1,000 pop",1117,298
Alabama,Sumter,0.618620476,"# per 1,000 pop",1119,303
Alabama,Talladega,0.621998856,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.56686548,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.828962294,"# per 1,000 pop",1125,313
Alabama,Walker,0.697015226,"# per 1,000 pop",1127,317
Alabama,Washington,0.120148985,"# per 1,000 pop",1129,319
Alabama,Wilcox,0.275862069,"# per 1,000 pop",1131,326
Alabama,Winston,0.460501528,"# per 1,000 pop",1133,332
