State,County,Seniors low access to store 2015 (LACCESS_SENIORS15),Units,FIPS,FID
Alabama,Autauga,2180.80928470464,Count,1001,5
Alabama,Baldwin,5580.66278954589,Count,1003,20
Alabama,Barbour,824.175262446028,Count,1005,25
Alabama,Bibb,137.688230946444,Count,1007,29
Alabama,Blount,505.914282447697,Count,1009,33
Alabama,Bullock,566.539354360723,Count,1011,37
Alabama,Butler,254.768140186343,Count,1013,39
Alabama,Calhoun,4455.31246795101,Count,1015,43
Alabama,Chambers,1266.43347472454,Count,1017,47
Alabama,Cherokee,13.7790034934878,Count,1019,51
Alabama,Chilton,246.454751744015,Count,1021,56
Alabama,Choctaw,452.88046520386,Count,1023,58
Alabama,Clarke,842.592559160336,Count,1025,61
Alabama,Clay,109.399198243104,Count,1027,65
Alabama,Cleburne,112.074849628211,Count,1029,67
Alabama,Coffee,1103.3292447322,Count,1031,70
Alabama,Colbert,1868.01998193404,Count,1033,73
Alabama,Conecuh,749.702002869179,Count,1035,80
Alabama,Coosa,564.949434694975,Count,1037,82
Alabama,Covington,728.613374021924,Count,1039,88
Alabama,Crenshaw,758.593091997088,Count,1041,90
Alabama,Cullman,1015.57067591287,Count,1043,98
Alabama,Dale,1364.67732377534,Count,1045,101
Alabama,Dallas,1246.91987067867,Count,1047,110
Alabama,DeKalb,258.253240700054,Count,1049,112
Alabama,Elmore,1533.07991190662,Count,1051,118
Alabama,Escambia,843.729216018433,Count,1053,122
Alabama,Etowah,4543.7362126848,Count,1055,131
Alabama,Fayette,71.3803375579357,Count,1057,134
Alabama,Franklin,496.761425655118,Count,1059,138
Alabama,Geneva,93.3832990218798,Count,1061,140
Alabama,Greene,475.519500675282,Count,1063,148
Alabama,Hale,294.988348594371,Count,1065,150
Alabama,Henry,175.037102292737,Count,1067,158
Alabama,Houston,2481.79234166,Count,1069,160
Alabama,Jackson,652.284180182274,Count,1071,164
Alabama,Jefferson,25970.6462363416,Count,1073,171
Alabama,Lamar,37.9838799556019,Count,1075,174
Alabama,Lauderdale,2026.38678959967,Count,1077,176
