State,County,Recreation & fitness facilities per 1000 pop (% change) 2011-16 (PCH_RECFACPTH_11_16),Units,FIPS,FID
Alabama,Autauga,49.785629002,% change,1001,5
Alabama,Baldwin,17.983256148,% change,1003,20
Alabama,Barbour,-100.0,% change,1005,25
Alabama,Bibb,nan,% change,1007,29
Alabama,Blount,33.333333333,% change,1009,33
Alabama,Bullock,0.0,% change,1011,37
Alabama,Butler,nan,% change,1013,39
Alabama,Calhoun,-10.365389633,% change,1015,43
Alabama,Chambers,0.0,% change,1017,47
Alabama,Cherokee,0.881005977,% change,1019,51
Alabama,Chilton,-0.32397901,% change,1021,56
Alabama,Choctaw,0.0,% change,1023,58
Alabama,Clarke,5.059548255,% change,1025,61
Alabama,Clay,0.0,% change,1027,65
Alabama,Cleburne,0.0,% change,1029,67
Alabama,Coffee,31.294947641,% change,1031,70
Alabama,Colbert,0.381026009,% change,1033,73
Alabama,Conecuh,0.0,% change,1035,80
Alabama,Coosa,0.0,% change,1037,82
Alabama,Covington,103.375595143,% change,1039,88
Alabama,Crenshaw,0.0,% change,1041,90
Alabama,Cullman,30.238170436,% change,1043,98
Alabama,Dale,-32.142953874,% change,1045,101
Alabama,Dallas,115.842918091,% change,1047,110
Alabama,DeKalb,-39.8845765,% change,1049,112
Alabama,Elmore,-1.518956179,% change,1051,118
Alabama,Escambia,1.937239833,% change,1053,122
Alabama,Etowah,16.096912452,% change,1055,131
Alabama,Fayette,0.0,% change,1057,134
Alabama,Franklin,0.601703772,% change,1059,138
Alabama,Geneva,0.0,% change,1061,140
Alabama,Greene,0.0,% change,1063,148
Alabama,Hale,0.0,% change,1065,150
Alabama,Henry,-100.0,% change,1067,158
Alabama,Houston,96.726599023,% change,1069,160
Alabama,Jackson,2.234432938,% change,1071,164
Alabama,Jefferson,17.392500459,% change,1073,171
Alabama,Lamar,0.0,% change,1075,174
Alabama,Lauderdale,50.461443473,% change,1077,176
Alabama,Lawrence,104.904910929,% change,1079,181
Alabama,Lee,-20.681849632,% change,1081,187
Alabama,Limestone,114.776151528,% change,1083,197
Alabama,Lowndes,8.680792891,% change,1085,205
Alabama,Macon,0.0,% change,1087,210
Alabama,Madison,-14.922325298,% change,1089,217
Alabama,Marengo,5.865162779,% change,1091,220
Alabama,Marion,nan,% change,1093,224
Alabama,Marshall,-1.213135107,% change,1095,231
Alabama,Mobile,2.929815934,% change,1097,240
Alabama,Monroe,nan,% change,1099,250
Alabama,Montgomery,6.398824033,% change,1101,256
Alabama,Morgan,17.833146775,% change,1103,262
Alabama,Perry,0.0,% change,1105,264
Alabama,Pickens,-4.730494708,% change,1107,273
Alabama,Pike,-0.74665061,% change,1109,279
Alabama,Randolph,-100.0,% change,1111,284
