State,County,SNAP redemptions per SNAP-authorized stores 2012 (REDEMP_SNAPS12),Units,FIPS,FID
Alabama,Autauga,301432.0810690423,Dollars/store,1001,5
Alabama,Baldwin,274394.50366265053,Dollars/store,1003,20
Alabama,Barbour,325496.5607655502,Dollars/store,1005,25
Alabama,Bibb,356444.032,Dollars/store,1007,29
Alabama,Blount,229730.02263157893,Dollars/store,1009,33
Alabama,Bullock,211588.91372093023,Dollars/store,1011,37
Alabama,Butler,345604.8689908257,Dollars/store,1013,39
Alabama,Calhoun,315617.50259818736,Dollars/store,1015,43
Alabama,Chambers,327935.78832116787,Dollars/store,1017,47
Alabama,Cherokee,242354.8712903226,Dollars/store,1019,51
Alabama,Chilton,247911.59465240646,Dollars/store,1021,56
Alabama,Choctaw,199087.2679591837,Dollars/store,1023,58
Alabama,Clarke,404583.406307054,Dollars/store,1025,61
Alabama,Clay,181439.6724590164,Dollars/store,1027,65
Alabama,Cleburne,157971.5238,Dollars/store,1029,67
Alabama,Coffee,306212.26293333335,Dollars/store,1031,70
Alabama,Colbert,263129.2794618834,Dollars/store,1033,73
Alabama,Conecuh,137903.45450549453,Dollars/store,1035,80
Alabama,Coosa,218925.34399999995,Dollars/store,1037,82
Alabama,Covington,305199.15815384616,Dollars/store,1039,88
Alabama,Crenshaw,167601.42074074075,Dollars/store,1041,90
Alabama,Cullman,224490.19483870963,Dollars/store,1043,98
Alabama,Dale,340056.25312072894,Dollars/store,1045,101
Alabama,Dallas,505114.8591904049,Dollars/store,1047,110
Alabama,DeKalb,226782.46485089467,Dollars/store,1049,112
Alabama,Elmore,350017.54190114065,Dollars/store,1051,118
Alabama,Escambia,319667.6844970414,Dollars/store,1053,122
Alabama,Etowah,271338.48940594064,Dollars/store,1055,131
Alabama,Fayette,405875.1986842106,Dollars/store,1057,134
Alabama,Franklin,348542.8149593496,Dollars/store,1059,138
Alabama,Geneva,348479.9564028777,Dollars/store,1061,140
Alabama,Greene,149920.7096703297,Dollars/store,1063,148
Alabama,Hale,295879.1264088398,Dollars/store,1065,150
Alabama,Henry,135975.07052132703,Dollars/store,1067,158
Alabama,Houston,330163.77942148765,Dollars/store,1069,160
Alabama,Jackson,220545.15322239033,Dollars/store,1071,164
Alabama,Jefferson,364831.8124550534,Dollars/store,1073,171
Alabama,Lamar,241560.6381081081,Dollars/store,1075,174
Alabama,Lauderdale,274112.6880991734,Dollars/store,1077,176
Alabama,Lawrence,267727.6788957055,Dollars/store,1079,181
Alabama,Lee,339127.4570293282,Dollars/store,1081,187
Alabama,Limestone,263637.1175838926,Dollars/store,1083,197
Alabama,Lowndes,127112.7246,Dollars/store,1085,205
Alabama,Macon,523231.4292307692,Dollars/store,1087,210
Alabama,Madison,301028.96001464647,Dollars/store,1089,217
Alabama,Marengo,395813.2029967427,Dollars/store,1091,220
Alabama,Marion,366487.6659854014,Dollars/store,1093,224
Alabama,Marshall,362775.7723738318,Dollars/store,1095,231
Alabama,Mobile,341039.1568057554,Dollars/store,1097,240
Alabama,Monroe,328256.0431270359,Dollars/store,1099,250
Alabama,Montgomery,491174.299530115,Dollars/store,1101,256
Alabama,Morgan,287712.5571428571,Dollars/store,1103,262
Alabama,Perry,221439.57120000003,Dollars/store,1105,264
Alabama,Pickens,190677.40390243902,Dollars/store,1107,273
Alabama,Pike,314543.67186721996,Dollars/store,1109,279
Alabama,Randolph,387949.4295412844,Dollars/store,1111,284
Alabama,Russell,532816.0139432177,Dollars/store,1113,288
Alabama,St. Clair,310506.23240506335,Dollars/store,1115,292
Alabama,Shelby,259649.9353163517,Dollars/store,1117,298
Alabama,Sumter,264816.72532019706,Dollars/store,1119,303
Alabama,Talladega,282521.6016806724,Dollars/store,1121,306
Alabama,Tallapoosa,406724.04581113806,Dollars/store,1123,308
Alabama,Tuscaloosa,316755.50727272726,Dollars/store,1125,313
Alabama,Walker,349148.0222162884,Dollars/store,1127,317
Alabama,Washington,77989.68461538461,Dollars/store,1129,319
Alabama,Wilcox,121597.86498023718,Dollars/store,1131,326
Alabama,Winston,241756.66032786877,Dollars/store,1133,332
Alaska,Aleutians East,83763.834,Dollars/store,2013,346
Alaska,Aleutians West,92417.0713846154,Dollars/store,2016,381
Alaska,Anchorage,534784.1691182798,Dollars/store,2020,400
Alaska,Bethel,343122.8960352423,Dollars/store,2050,411
Alaska,Bristol Bay,nan,Dollars/store,2060,423
Alaska,Denali,0.0,Dollars/store,2068,426
Alaska,Dillingham,338984.5011111111,Dollars/store,2070,445
Alaska,Fairbanks North Star,664184.200535117,Dollars/store,2090,454
Alaska,Haines,nan,Dollars/store,2100,462
Alaska,Hoonah-Angoon,98734.2642857143,Dollars/store,2105,476
Alaska,Juneau,489246.41620253155,Dollars/store,2110,482
Alaska,Kenai Peninsula,302535.5602941176,Dollars/store,2122,494
Alaska,Ketchikan Gateway,562338.955,Dollars/store,2130,514
Alaska,Kodiak Island,205897.4241322314,Dollars/store,2150,533
Alaska,Lake and Peninsula,70451.57760000002,Dollars/store,2164,544
Alaska,Matanuska-Susitna,515512.2136674259,Dollars/store,2170,556
Alaska,Nome,338898.0671720116,Dollars/store,2180,571
Alaska,North Slope,291025.3146153846,Dollars/store,2185,614
Alaska,Northwest Arctic,315458.51315789466,Dollars/store,2188,638
Alaska,Petersburg,nan,Dollars/store,2195,645
Alaska,Prince of Wales-Hyder,255922.8574468085,Dollars/store,2198,669
Alaska,Sitka,nan,Dollars/store,2220,679
Alaska,Skagway,nan,Dollars/store,2230,683
Alaska,Southeast Fairbanks,222884.20714285714,Dollars/store,2240,690
Alaska,Valdez-Cordova,76042.92979591838,Dollars/store,2261,710
Alaska,Wade Hampton,493181.8565517242,Dollars/store,2270,725
Alaska,Wrangell,nan,Dollars/store,2275,733
Alaska,Yakutat,nan,Dollars/store,2282,744
Alaska,Yukon-Koyukuk,90933.92850325379,Dollars/store,2290,753
Arizona,Apache,386674.568907563,Dollars/store,4001,761
Arizona,Cochise,344038.721644737,Dollars/store,4003,763
Arizona,Coconino,511542.1361290323,Dollars/store,4005,771
Arizona,Gila,457717.2581749049,Dollars/store,4007,787
Arizona,Graham,490804.96356435644,Dollars/store,4009,0
Arizona,Greenlee,96642.3620869565,Dollars/store,4011,1
Arizona,La Paz,188261.1442268041,Dollars/store,4012,3
Arizona,Maricopa,452618.946349964,Dollars/store,4013,9
Arizona,Mohave,544510.531268705,Dollars/store,4015,15
Arizona,Navajo,607584.5241791045,Dollars/store,4017,17
Arizona,Pima,460714.30581616657,Dollars/store,4019,21
Arizona,Pinal,496771.68159235665,Dollars/store,4021,26
Arizona,Santa Cruz,699185.0585488959,Dollars/store,4023,32
Arizona,Yavapai,331628.8918518518,Dollars/store,4025,35
Arizona,Yuma,596813.0890312499,Dollars/store,4027,42
Arkansas,Arkansas,342425.02269767446,Dollars/store,5001,46
Arkansas,Ashley,293106.9364615384,Dollars/store,5003,50
Arkansas,Baxter,305157.02627218934,Dollars/store,5005,54
Arkansas,Benton,266687.1571010807,Dollars/store,5007,59
Arkansas,Boone,296392.14232346235,Dollars/store,5009,62
Arkansas,Bradley,344171.49743589753,Dollars/store,5011,68
Arkansas,Calhoun,63908.92928571428,Dollars/store,5013,72
Arkansas,Carroll,212865.55494736845,Dollars/store,5015,74
Arkansas,Chicot,236490.61877094972,Dollars/store,5017,77
Arkansas,Clark,370178.8230379747,Dollars/store,5019,86
Arkansas,Clay,150414.49263157893,Dollars/store,5021,93
Arkansas,Cleburne,191159.7942857143,Dollars/store,5023,97
Arkansas,Cleveland,95464.3298630137,Dollars/store,5025,103
Arkansas,Columbia,398423.9807407406,Dollars/store,5027,107
Arkansas,Conway,308895.20731914893,Dollars/store,5029,109
Arkansas,Craighead,303489.7713786408,Dollars/store,5031,114
Arkansas,Crawford,362056.0573186814,Dollars/store,5033,115
Arkansas,Crittenden,394031.1800264901,Dollars/store,5035,119
Arkansas,Cross,270739.49657142855,Dollars/store,5037,124
Arkansas,Dallas,239470.7977777778,Dollars/store,5039,128
Arkansas,Desha,319990.74135746603,Dollars/store,5041,130
Arkansas,Drew,521426.69497206714,Dollars/store,5043,136
Arkansas,Faulkner,364668.355620438,Dollars/store,5045,141
Arkansas,Franklin,286218.3631372549,Dollars/store,5047,144
Arkansas,Fulton,154741.0675,Dollars/store,5049,146
Arkansas,Garland,385000.9290214798,Dollars/store,5051,151
Arkansas,Grant,295129.73949579836,Dollars/store,5053,155
Arkansas,Greene,397543.19660056656,Dollars/store,5055,162
Arkansas,Hempstead,487472.48204081634,Dollars/store,5057,172
Arkansas,Hot Spring,235630.54592375367,Dollars/store,5059,184
Arkansas,Howard,377917.64865671645,Dollars/store,5061,191
Arkansas,Independence,293238.11177664984,Dollars/store,5063,200
Arkansas,Izard,100323.9953271028,Dollars/store,5065,203
Arkansas,Jackson,293773.56096000003,Dollars/store,5067,209
Arkansas,Jefferson,370426.46713450295,Dollars/store,5069,213
Arkansas,Johnson,356940.62052631576,Dollars/store,5071,218
Arkansas,Lafayette,83881.50869565216,Dollars/store,5073,222
Arkansas,Lawrence,164240.90641791048,Dollars/store,5075,230
Arkansas,Lee,275316.3748905109,Dollars/store,5077,237
Arkansas,Lincoln,251014.3143529412,Dollars/store,5079,244
Arkansas,Little River,229864.92833333332,Dollars/store,5081,251
