State,County,Recreation & fitness facilities per 1000 pop 2011 (RECFACPTH11),Units,FIPS,FID
Alabama,Autauga,0.072465081,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.085775247,"# per 1,000 pop",1003,20
Alabama,Barbour,0.073123469,"# per 1,000 pop",1005,25
Alabama,Bibb,0.0,"# per 1,000 pop",1007,29
Alabama,Blount,0.0521177,"# per 1,000 pop",1009,33
Alabama,Bullock,0.0,"# per 1,000 pop",1011,37
Alabama,Butler,0.0,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.067920363,"# per 1,000 pop",1015,43
Alabama,Chambers,0.0,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.0384719,"# per 1,000 pop",1019,51
Alabama,Chilton,0.0457792,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.0,"# per 1,000 pop",1023,58
Alabama,Clarke,0.07817997,"# per 1,000 pop",1025,61
Alabama,Clay,0.0,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.0,"# per 1,000 pop",1029,67
Alabama,Coffee,0.0594837,"# per 1,000 pop",1031,70
Alabama,Colbert,0.091685921,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.0,"# per 1,000 pop",1035,80
Alabama,Coosa,0.0,"# per 1,000 pop",1037,82
Alabama,Covington,0.052608,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.0,"# per 1,000 pop",1041,90
Alabama,Cullman,0.0373083,"# per 1,000 pop",1043,98
Alabama,Dale,0.0598719,"# per 1,000 pop",1045,101
Alabama,Dallas,0.0231182,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.070074138,"# per 1,000 pop",1049,112
Alabama,Elmore,0.0499963,"# per 1,000 pop",1051,118
Alabama,Escambia,0.0523533,"# per 1,000 pop",1053,122
Alabama,Etowah,0.067079364,"# per 1,000 pop",1055,131
Alabama,Fayette,0.0,"# per 1,000 pop",1057,134
Alabama,Franklin,0.094437624,"# per 1,000 pop",1059,138
Alabama,Geneva,0.0,"# per 1,000 pop",1061,140
Alabama,Greene,0.0,"# per 1,000 pop",1063,148
Alabama,Hale,0.0,"# per 1,000 pop",1065,150
Alabama,Henry,0.0575506,"# per 1,000 pop",1067,158
Alabama,Houston,0.0487957,"# per 1,000 pop",1069,160
Alabama,Jackson,0.0187928,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.094255149,"# per 1,000 pop",1073,171
Alabama,Lamar,0.0,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.064792717,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.0293712,"# per 1,000 pop",1079,181
Alabama,Lee,0.0555105,"# per 1,000 pop",1081,187
Alabama,Limestone,0.0350754,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.08984726,"# per 1,000 pop",1085,205
Alabama,Macon,0.0,"# per 1,000 pop",1087,210
Alabama,Madison,0.164939223,"# per 1,000 pop",1089,217
Alabama,Marengo,0.096856991,"# per 1,000 pop",1091,220
Alabama,Marion,0.0,"# per 1,000 pop",1093,224
Alabama,Marshall,0.042603,"# per 1,000 pop",1095,231
Alabama,Mobile,0.072598443,"# per 1,000 pop",1097,240
Alabama,Monroe,0.0,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.082910779,"# per 1,000 pop",1101,256
Alabama,Morgan,0.0499971,"# per 1,000 pop",1103,262
Alabama,Perry,0.0,"# per 1,000 pop",1105,264
Alabama,Pickens,0.103337811,"# per 1,000 pop",1107,273
Alabama,Pike,0.0606667,"# per 1,000 pop",1109,279
Alabama,Randolph,0.0439754,"# per 1,000 pop",1111,284
Alabama,Russell,0.072948772,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.0474997,"# per 1,000 pop",1115,292
Alabama,Shelby,0.101068803,"# per 1,000 pop",1117,298
Alabama,Sumter,0.07412349,"# per 1,000 pop",1119,303
Alabama,Talladega,0.0244523,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.0241581,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.066090829,"# per 1,000 pop",1125,313
Alabama,Walker,0.090121213,"# per 1,000 pop",1127,317
Alabama,Washington,0.0,"# per 1,000 pop",1129,319
Alabama,Wilcox,0.0,"# per 1,000 pop",1131,326
Alabama,Winston,0.0,"# per 1,000 pop",1133,332
Alaska,Aleutians East,0.0,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.0,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.118127112,"# per 1,000 pop",2020,400
Alaska,Bethel,0.0,"# per 1,000 pop",2050,411
