State,County,Vegetable acres harvested for fresh market (% change) 2007 - 12 (PCH_FRESHVEG_ACRES_07_12),Units,FIPS,FID
Alabama,Tuscaloosa,19.047619047619047,% change,1125.0,313
Alabama,Walker,nan,% change,1127.0,317
Alabama,Washington,-51.578947368421055,% change,1129.0,319
Alabama,Wilcox,35.84905660377358,% change,1131.0,326
Alabama,Winston,-22.58064516129032,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,nan,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,nan,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,nan,% change,2110.0,482
Alaska,Kenai Peninsula,nan,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,-43.535146228835295,% change,4001.0,761
Arizona,Cochise,nan,% change,4003.0,763
Arizona,Coconino,nan,% change,4005.0,771
Arizona,Gila,nan,% change,4007.0,787
Arizona,Graham,nan,% change,4009.0,0
Arizona,Greenlee,nan,% change,4011.0,1
Arizona,La Paz,nan,% change,4012.0,3
Arizona,Maricopa,nan,% change,4013.0,9
Arizona,Mohave,nan,% change,4015.0,15
Arizona,Navajo,-56.126482213438734,% change,4017.0,17
Arizona,Pima,nan,% change,4019.0,21
Arizona,Pinal,nan,% change,4021.0,26
Arizona,Santa Cruz,nan,% change,4023.0,32
Arizona,Yavapai,nan,% change,4025.0,35
Arizona,Yuma,6.129807692307692,% change,4027.0,42
Arkansas,Arkansas,nan,% change,5001.0,46
Arkansas,Ashley,-24.22145328719723,% change,5003.0,50
Arkansas,Baxter,nan,% change,5005.0,54
Arkansas,Benton,114.28571428571428,% change,5007.0,59
Arkansas,Boone,nan,% change,5009.0,62
Arkansas,Bradley,nan,% change,5011.0,68
Arkansas,Calhoun,nan,% change,5013.0,72
Arkansas,Carroll,-44.11764705882353,% change,5015.0,74
Arkansas,Chicot,nan,% change,5017.0,77
Arkansas,Clark,nan,% change,5019.0,86
Arkansas,Clay,nan,% change,5021.0,93
Arkansas,Cleburne,nan,% change,5023.0,97
Arkansas,Cleveland,nan,% change,5025.0,103
Arkansas,Columbia,nan,% change,5027.0,107
Arkansas,Conway,-66.66666666666666,% change,5029.0,109
Arkansas,Craighead,-65.14285714285715,% change,5031.0,114
Arkansas,Crawford,nan,% change,5033.0,115
Arkansas,Crittenden,nan,% change,5035.0,119
Arkansas,Cross,nan,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,nan,% change,5041.0,130
Arkansas,Drew,-25.806451612903224,% change,5043.0,136
Arkansas,Faulkner,nan,% change,5045.0,141
Arkansas,Franklin,nan,% change,5047.0,144
Arkansas,Fulton,nan,% change,5049.0,146
Arkansas,Garland,nan,% change,5051.0,151
Arkansas,Grant,nan,% change,5053.0,155
Arkansas,Greene,nan,% change,5055.0,162
Arkansas,Hempstead,-30.37974683544304,% change,5057.0,172
Arkansas,Hot Spring,nan,% change,5059.0,184
Arkansas,Howard,nan,% change,5061.0,191
Arkansas,Independence,466.6666666666667,% change,5063.0,200
Arkansas,Izard,31.818181818181817,% change,5065.0,203
Arkansas,Jackson,nan,% change,5067.0,209
Arkansas,Jefferson,-56.81818181818182,% change,5069.0,213
Arkansas,Johnson,nan,% change,5071.0,218
Arkansas,Lafayette,nan,% change,5073.0,222
Arkansas,Lawrence,nan,% change,5075.0,230
Arkansas,Lee,nan,% change,5077.0,237
Arkansas,Lincoln,nan,% change,5079.0,244
Arkansas,Little River,nan,% change,5081.0,251
Arkansas,Logan,-50.0,% change,5083.0,258
Arkansas,Lonoke,nan,% change,5085.0,268
Arkansas,Madison,33.33333333333333,% change,5087.0,277
Arkansas,Marion,nan,% change,5089.0,282
Arkansas,Miller,nan,% change,5091.0,287
Arkansas,Mississippi,69.23076923076923,% change,5093.0,294
Arkansas,Monroe,nan,% change,5095.0,300
Arkansas,Montgomery,nan,% change,5097.0,304
Arkansas,Nevada,nan,% change,5099.0,307
Arkansas,Newton,-33.33333333333333,% change,5101.0,311
Arkansas,Ouachita,nan,% change,5103.0,316
Arkansas,Perry,nan,% change,5105.0,318
Arkansas,Phillips,0.0,% change,5107.0,322
Arkansas,Pike,nan,% change,5109.0,327
Arkansas,Poinsett,-85.0,% change,5111.0,333
Arkansas,Polk,nan,% change,5113.0,337
Arkansas,Pope,nan,% change,5115.0,340
Arkansas,Prairie,nan,% change,5117.0,345
Arkansas,Pulaski,nan,% change,5119.0,350
Arkansas,Randolph,-83.6734693877551,% change,5121.0,353
Arkansas,St. Francis,nan,% change,5123.0,357
Arkansas,Saline,-76.05633802816901,% change,5125.0,360
Arkansas,Scott,-100.0,% change,5127.0,364
Arkansas,Searcy,nan,% change,5129.0,372
Arkansas,Sebastian,nan,% change,5131.0,378
Arkansas,Sevier,-100.0,% change,5133.0,390
Arkansas,Sharp,-26.865671641791046,% change,5135.0,394
Arkansas,Stone,nan,% change,5137.0,399
Arkansas,Union,nan,% change,5139.0,403
Arkansas,Van Buren,nan,% change,5141.0,407
Arkansas,Washington,nan,% change,5143.0,417
Arkansas,White,nan,% change,5145.0,428
Arkansas,Woodruff,nan,% change,5147.0,435
Arkansas,Yell,nan,% change,5149.0,438
California,Alameda,nan,% change,6001.0,457
California,Alpine,nan,% change,6003.0,461
California,Amador,450.0,% change,6005.0,472
California,Butte,nan,% change,6007.0,486
California,Calaveras,nan,% change,6009.0,489
California,Colusa,19.112383679312813,% change,6011.0,497
California,Contra Costa,nan,% change,6013.0,503
California,Del Norte,671.4285714285714,% change,6015.0,511
California,El Dorado,140.9090909090909,% change,6017.0,522
California,Fresno,-10.113089118554191,% change,6019.0,527
California,Glenn,nan,% change,6021.0,537
California,Humboldt,119.18819188191883,% change,6023.0,551
California,Imperial,40.74955542779211,% change,6025.0,557
California,Inyo,nan,% change,6027.0,562
California,Kern,-5.267299309129251,% change,6029.0,84
California,Kings,24.04384328358209,% change,6031.0,94
California,Lake,nan,% change,6033.0,100
California,Lassen,nan,% change,6035.0,104
California,Los Angeles,nan,% change,6037.0,139
California,Madera,nan,% change,6039.0,153
California,Marin,-13.488372093023257,% change,6041.0,168
California,Mariposa,nan,% change,6043.0,178
California,Mendocino,30.980392156862745,% change,6045.0,190
California,Merced,31.001862741517222,% change,6047.0,204
California,Modoc,17.744610281923716,% change,6049.0,207
California,Mono,nan,% change,6051.0,214
California,Monterey,0.1883605342147796,% change,6053.0,228
California,Napa,141.3793103448276,% change,6055.0,236
California,Nevada,232.25806451612905,% change,6057.0,243
California,Orange,nan,% change,6059.0,257
California,Placer,30.57851239669421,% change,6061.0,266
California,Plumas,225.0,% change,6063.0,275
California,Riverside,34.271642356506916,% change,6065.0,281
California,Sacramento,-30.576006929406667,% change,6067.0,289
California,San Benito,-63.05267702936097,% change,6069.0,295
California,San Bernardino,-76.10969091331629,% change,6071.0,302
California,San Diego,nan,% change,6073.0,315
California,San Francisco,nan,% change,6075.0,331
California,San Joaquin,-15.20248490886714,% change,6077.0,339
California,San Luis Obispo,-17.238777819690682,% change,6079.0,351
California,San Mateo,nan,% change,6081.0,368
California,Santa Barbara,-5.213293168788262,% change,6083.0,391
California,Santa Clara,-14.797370228633108,% change,6085.0,406
California,Santa Cruz,8.29796668144676,% change,6087.0,415
California,Shasta,nan,% change,6089.0,431
California,Sierra,nan,% change,6091.0,439
California,Siskiyou,44.361888111888106,% change,6093.0,446
California,Solano,19.662921348314608,% change,6095.0,453
California,Sonoma,nan,% change,6097.0,463
California,Stanislaus,-5.58388260166646,% change,6099.0,473
California,Sutter,-50.399573787959504,% change,6101.0,483
California,Tehama,32.20338983050847,% change,6103.0,492
California,Trinity,147.82608695652172,% change,6105.0,500
California,Tulare,-0.2257336343115124,% change,6107.0,501
California,Tuolumne,nan,% change,6109.0,513
California,Ventura,-7.926230514299743,% change,6111.0,521
California,Yolo,-12.842923039572712,% change,6113.0,525
California,Yuba,-16.27906976744186,% change,6115.0,541
Colorado,Adams,nan,% change,8001.0,545
Colorado,Alamosa,nan,% change,8003.0,549
Colorado,Arapahoe,nan,% change,8005.0,558
Colorado,Archuleta,nan,% change,8007.0,560
Colorado,Baca,nan,% change,8009.0,563
Colorado,Bent,nan,% change,8011.0,564
Colorado,Boulder,53.84615384615385,% change,8013.0,570
Colorado,Broomfield,nan,% change,8014.0,577
Colorado,Chaffee,nan,% change,8015.0,582
Colorado,Cheyenne,nan,% change,8017.0,587
Colorado,Clear Creek,nan,% change,8019.0,591
Colorado,Conejos,nan,% change,8021.0,596
Colorado,Costilla,nan,% change,8023.0,599
Colorado,Crowley,nan,% change,8025.0,605
Colorado,Custer,nan,% change,8027.0,610
Colorado,Delta,nan,% change,8029.0,617
Colorado,Denver,nan,% change,8031.0,628
Colorado,Dolores,nan,% change,8033.0,636
Colorado,Douglas,27.27272727272727,% change,8035.0,644
Colorado,Eagle,nan,% change,8037.0,648
Colorado,Elbert,nan,% change,8039.0,655
Colorado,El Paso,-34.61538461538461,% change,8041.0,661
Colorado,Fremont,nan,% change,8043.0,664
Colorado,Garfield,-25.0,% change,8045.0,667
Colorado,Gilpin,nan,% change,8047.0,672
Colorado,Grand,nan,% change,8049.0,677
Colorado,Gunnison,nan,% change,8051.0,682
Colorado,Hinsdale,nan,% change,8053.0,688
Colorado,Huerfano,nan,% change,8055.0,693
Colorado,Jackson,nan,% change,8057.0,701
Colorado,Jefferson,nan,% change,8059.0,706
Colorado,Kiowa,nan,% change,8061.0,711
Colorado,Kit Carson,nan,% change,8063.0,716
Colorado,Lake,nan,% change,8065.0,721
Colorado,La Plata,-4.761904761904762,% change,8067.0,727
Colorado,Larimer,-58.154959300572806,% change,8069.0,734
Colorado,Las Animas,nan,% change,8071.0,741
Colorado,Lincoln,nan,% change,8073.0,747
Colorado,Logan,-64.28571428571429,% change,8075.0,749
Colorado,Mesa,-30.64312736443884,% change,8077.0,751
Colorado,Mineral,nan,% change,8079.0,757
Colorado,Moffat,nan,% change,8081.0,758
Colorado,Montezuma,nan,% change,8083.0,766
Colorado,Montrose,nan,% change,8085.0,769
Colorado,Morgan,nan,% change,8087.0,775
Colorado,Otero,nan,% change,8089.0,777
Colorado,Ouray,-33.33333333333333,% change,8091.0,780
Colorado,Park,nan,% change,8093.0,782
Colorado,Phillips,nan,% change,8095.0,785
Colorado,Pitkin,nan,% change,8097.0,789
Colorado,Prowers,nan,% change,8099.0,792
Colorado,Pueblo,nan,% change,8101.0,795
Colorado,Rio Blanco,nan,% change,8103.0,799
Colorado,Rio Grande,nan,% change,8105.0,802
Colorado,Routt,nan,% change,8107.0,809
Colorado,Saguache,nan,% change,8109.0,811
Colorado,San Juan,nan,% change,8111.0,347
Colorado,San Miguel,-25.0,% change,8113.0,359
Colorado,Sedgwick,nan,% change,8115.0,366
Colorado,Summit,nan,% change,8117.0,373
Colorado,Teller,nan,% change,8119.0,375
Colorado,Washington,nan,% change,8121.0,377
Colorado,Weld,-24.02647975077882,% change,8123.0,382
Colorado,Yuma,nan,% change,8125.0,385
Connecticut,Fairfield,nan,% change,9001.0,410
Connecticut,Hartford,-13.22665586388495,% change,9003.0,432
Connecticut,Litchfield,-20.0,% change,9005.0,443
Connecticut,Middlesex,nan,% change,9007.0,450
Connecticut,New Haven,-4.860699466508596,% change,9009.0,466
Connecticut,New London,nan,% change,9011.0,517
Connecticut,Tolland,-7.772511848341232,% change,9013.0,524
Connecticut,Windham,nan,% change,9015.0,529
Delaware,Kent,-15.192376842862279,% change,10001.0,532
Delaware,New Castle,-41.02079395085066,% change,10003.0,536
Delaware,Sussex,-13.158871566443949,% change,10005.0,609
District of Columbia,District of Columbia,nan,% change,11001.0,630
Florida,Alachua,nan,% change,12001.0,639
Florida,Baker,nan,% change,12003.0,641
Florida,Bay,-78.94736842105263,% change,12005.0,658
Florida,Bradford,-60.752688172043015,% change,12007.0,665
Florida,Brevard,nan,% change,12009.0,686
Florida,Broward,nan,% change,12011.0,695
Florida,Calhoun,nan,% change,12013.0,699
Florida,Charlotte,12.190352020860495,% change,12015.0,743
Florida,Citrus,nan,% change,12017.0,843
Florida,Clay,nan,% change,12019.0,852
Florida,Collier,nan,% change,12021.0,894
Florida,Columbia,-31.73076923076923,% change,12023.0,903
Florida,DeSoto,nan,% change,12027.0,906
Florida,Dixie,nan,% change,12029.0,918
Florida,Duval,nan,% change,12031.0,924
Florida,Escambia,207.37704918032787,% change,12033.0,931
Florida,Flagler,nan,% change,12035.0,935
Florida,Franklin,nan,% change,12037.0,937
Florida,Gadsden,-44.165054803352675,% change,12039.0,938
Florida,Gilchrist,nan,% change,12041.0,939
Florida,Glades,nan,% change,12043.0,940
Florida,Gulf,nan,% change,12045.0,941
Florida,Hamilton,nan,% change,12047.0,942
Florida,Hardee,nan,% change,12049.0,943
Florida,Hendry,nan,% change,12051.0,944
Florida,Hernando,nan,% change,12053.0,945
Florida,Highlands,nan,% change,12055.0,946
Florida,Hillsborough,nan,% change,12057.0,947
Florida,Holmes,1.7699115044247788,% change,12059.0,948
Florida,Indian River,nan,% change,12061.0,949
Florida,Jackson,nan,% change,12063.0,950
Florida,Jefferson,nan,% change,12065.0,951
Florida,Lafayette,nan,% change,12067.0,952
Florida,Lake,nan,% change,12069.0,953
Florida,Lee,nan,% change,12071.0,954
Florida,Leon,nan,% change,12073.0,955
Florida,Levy,nan,% change,12075.0,956
Florida,Liberty,nan,% change,12077.0,957
Florida,Madison,nan,% change,12079.0,958
Florida,Manatee,6.068002740664611,% change,12081.0,959
Florida,Marion,nan,% change,12083.0,960
Florida,Martin,nan,% change,12085.0,961
Florida,Miami-Dade,-16.132651789053735,% change,12086.0,962
Florida,Monroe,nan,% change,12087.0,963
Florida,Nassau,168.42105263157893,% change,12089.0,964
Florida,Okaloosa,nan,% change,12091.0,965
Florida,Okeechobee,nan,% change,12093.0,966
Florida,Orange,nan,% change,12095.0,967
Florida,Osceola,nan,% change,12097.0,968
Florida,Palm Beach,nan,% change,12099.0,969
Florida,Pasco,-50.224215246636774,% change,12101.0,970
Florida,Pinellas,nan,% change,12103.0,971
Florida,Polk,nan,% change,12105.0,972
Florida,Putnam,152.73469387755102,% change,12107.0,973
Florida,St. Johns,53.745644599303134,% change,12109.0,974
Florida,St. Lucie,nan,% change,12111.0,975
Florida,Santa Rosa,nan,% change,12113.0,976
Florida,Sarasota,nan,% change,12115.0,977
Florida,Seminole,-50.0,% change,12117.0,978
Florida,Sumter,nan,% change,12119.0,979
Florida,Suwannee,nan,% change,12121.0,980
Florida,Taylor,nan,% change,12123.0,981
Florida,Union,-52.690582959641254,% change,12125.0,982
Florida,Volusia,nan,% change,12127.0,983
Florida,Wakulla,nan,% change,12129.0,984
Florida,Walton,nan,% change,12131.0,985
Florida,Washington,nan,% change,12133.0,986
Georgia,Appling,-71.13702623906705,% change,13001.0,987
Georgia,Atkinson,nan,% change,13003.0,988
Georgia,Bacon,nan,% change,13005.0,989
Georgia,Baker,nan,% change,13007.0,990
Georgia,Baldwin,nan,% change,13009.0,991
Georgia,Banks,nan,% change,13011.0,992
Georgia,Barrow,nan,% change,13013.0,993
Georgia,Bartow,-26.666666666666668,% change,13015.0,994
Georgia,Ben Hill,nan,% change,13017.0,995
Georgia,Berrien,nan,% change,13019.0,996
Georgia,Bibb,nan,% change,13021.0,997
Georgia,Bleckley,nan,% change,13023.0,998
Georgia,Brantley,-66.66666666666666,% change,13025.0,999
Georgia,Brooks,-31.566011235955056,% change,13027.0,565
Georgia,Bryan,91.66666666666666,% change,13029.0,573
Georgia,Bulloch,-39.0,% change,13031.0,579
Georgia,Burke,-64.66666666666666,% change,13033.0,583
Georgia,Butts,nan,% change,13035.0,588
Georgia,Calhoun,nan,% change,13037.0,592
Georgia,Camden,nan,% change,13039.0,603
Georgia,Candler,nan,% change,13043.0,616
Georgia,Carroll,1933.3333333333333,% change,13045.0,620
Georgia,Catoosa,22.07792207792208,% change,13047.0,626
Georgia,Charlton,nan,% change,13049.0,635
Georgia,Chatham,nan,% change,13051.0,646
Georgia,Chattahoochee,nan,% change,13053.0,656
Georgia,Chattooga,nan,% change,13055.0,659
Georgia,Cherokee,nan,% change,13057.0,662
Georgia,Clarke,-66.66666666666666,% change,13059.0,666
Georgia,Clay,nan,% change,13061.0,670
Georgia,Clayton,nan,% change,13063.0,673
Georgia,Clinch,nan,% change,13065.0,676
Georgia,Cobb,25.0,% change,13067.0,680
Georgia,Coffee,nan,% change,13069.0,684
Georgia,Colquitt,nan,% change,13071.0,689
Georgia,Columbia,-38.88888888888889,% change,13073.0,692
Georgia,Cook,nan,% change,13075.0,697
Georgia,Coweta,nan,% change,13077.0,700
Georgia,Crawford,nan,% change,13079.0,704
Georgia,Crisp,11.619853789919201,% change,13081.0,707
Georgia,Dade,nan,% change,13083.0,708
Georgia,Dawson,nan,% change,13085.0,713
Georgia,Decatur,nan,% change,13087.0,714
Georgia,DeKalb,nan,% change,13089.0,718
Georgia,Dodge,nan,% change,13091.0,720
Georgia,Dooly,-82.7433628318584,% change,13093.0,724
Georgia,Dougherty,nan,% change,13095.0,728
Georgia,Douglas,50.0,% change,13097.0,731
Georgia,Early,nan,% change,13099.0,735
Georgia,Echols,nan,% change,13101.0,737
Georgia,Effingham,nan,% change,13103.0,742
Georgia,Elbert,61.53846153846154,% change,13105.0,746
Georgia,Emanuel,93.33333333333333,% change,13107.0,750
Georgia,Evans,nan,% change,13109.0,754
Georgia,Fannin,nan,% change,13111.0,755
Georgia,Fayette,nan,% change,13113.0,760
Georgia,Floyd,304.16666666666663,% change,13115.0,764
Georgia,Forsyth,nan,% change,13117.0,768
Georgia,Franklin,-27.906976744186046,% change,13119.0,772
Georgia,Fulton,2.564102564102564,% change,13121.0,779
Georgia,Gilmer,nan,% change,13123.0,781
Georgia,Glascock,nan,% change,13125.0,783
Georgia,Glynn,nan,% change,13127.0,793
Georgia,Gordon,nan,% change,13129.0,796
Georgia,Grady,5.5040871934604905,% change,13131.0,797
Georgia,Greene,nan,% change,13133.0,800
Georgia,Gwinnett,40.0,% change,13135.0,804
Georgia,Habersham,nan,% change,13137.0,806
Georgia,Hall,nan,% change,13139.0,808
Georgia,Hancock,133.33333333333331,% change,13141.0,810
Georgia,Haralson,-45.83333333333333,% change,13143.0,813
Georgia,Harris,37.5,% change,13145.0,814
Georgia,Hart,106.12244897959184,% change,13147.0,816
Georgia,Heard,-15.0,% change,13149.0,817
Georgia,Henry,nan,% change,13151.0,820
Georgia,Houston,nan,% change,13153.0,823
Georgia,Irwin,-6.302521008403361,% change,13155.0,825
Georgia,Jackson,-56.8,% change,13157.0,828
Georgia,Jasper,-83.87096774193549,% change,13159.0,830
Georgia,Jeff Davis,nan,% change,13161.0,832
Georgia,Jefferson,nan,% change,13163.0,834
Georgia,Jenkins,nan,% change,13165.0,835
Georgia,Johnson,-78.57142857142857,% change,13167.0,837
Georgia,Jones,nan,% change,13169.0,839
Georgia,Lamar,nan,% change,13171.0,841
Georgia,Lanier,-86.95652173913044,% change,13173.0,845
Georgia,Laurens,-40.27777777777778,% change,13175.0,847
Georgia,Lee,nan,% change,13177.0,849
Georgia,Liberty,nan,% change,13179.0,855
Georgia,Lincoln,nan,% change,13181.0,857
Georgia,Long,nan,% change,13183.0,860
Georgia,Lowndes,-61.60049627791563,% change,13185.0,863
Georgia,Lumpkin,nan,% change,13187.0,865
Georgia,McDuffie,-69.56521739130434,% change,13189.0,868
Georgia,McIntosh,nan,% change,13191.0,871
Georgia,Macon,nan,% change,13193.0,874
Georgia,Madison,-31.818181818181817,% change,13195.0,875
Georgia,Marion,-42.52100840336134,% change,13197.0,877
Georgia,Meriwether,-81.48148148148148,% change,13199.0,879
Georgia,Miller,nan,% change,13201.0,881
Georgia,Mitchell,nan,% change,13205.0,883
Georgia,Monroe,nan,% change,13207.0,885
Georgia,Montgomery,nan,% change,13209.0,887
Georgia,Morgan,100.0,% change,13211.0,890
Georgia,Murray,-53.271028037383175,% change,13213.0,892
Georgia,Muscogee,nan,% change,13215.0,896
Georgia,Newton,168.42105263157893,% change,13217.0,899
Georgia,Oconee,nan,% change,13219.0,901
Georgia,Oglethorpe,216.66666666666666,% change,13221.0,905
Georgia,Paulding,nan,% change,13223.0,908
Georgia,Peach,nan,% change,13225.0,910
Georgia,Pickens,59.375,% change,13227.0,912
Georgia,Pierce,nan,% change,13229.0,915
Georgia,Pike,-31.428571428571427,% change,13231.0,7
Georgia,Polk,-45.45454545454545,% change,13233.0,8
Georgia,Pulaski,nan,% change,13235.0,11
Georgia,Putnam,nan,% change,13237.0,13
Georgia,Quitman,nan,% change,13239.0,16
Georgia,Rabun,nan,% change,13241.0,18
Georgia,Randolph,nan,% change,13243.0,23
Georgia,Richmond,-50.0,% change,13245.0,24
Georgia,Rockdale,nan,% change,13247.0,28
Georgia,Schley,nan,% change,13249.0,31
Georgia,Screven,nan,% change,13251.0,34
Georgia,Seminole,nan,% change,13253.0,38
Georgia,Spalding,nan,% change,13255.0,41
Georgia,Stephens,nan,% change,13257.0,45
Georgia,Stewart,nan,% change,13259.0,48
Georgia,Sumter,nan,% change,13261.0,52
Georgia,Talbot,nan,% change,13263.0,57
Georgia,Taliaferro,nan,% change,13265.0,60
Georgia,Tattnall,nan,% change,13267.0,63
Georgia,Taylor,-90.0,% change,13269.0,69
Georgia,Telfair,-91.72154280338664,% change,13271.0,75
Georgia,Terrell,nan,% change,13273.0,78
Georgia,Thomas,nan,% change,13275.0,83
Georgia,Tift,nan,% change,13277.0,87
Georgia,Toombs,nan,% change,13279.0,91
Georgia,Towns,nan,% change,13281.0,95
Georgia,Treutlen,nan,% change,13283.0,102
Georgia,Troup,nan,% change,13285.0,105
Georgia,Turner,-16.071428571428573,% change,13287.0,108
Georgia,Twiggs,750.0,% change,13289.0,116
Georgia,Union,nan,% change,13291.0,120
Georgia,Upson,nan,% change,13293.0,123
Georgia,Walker,-55.319148936170215,% change,13295.0,126
Georgia,Walton,152.5,% change,13297.0,127
Georgia,Ware,nan,% change,13299.0,132
Georgia,Warren,nan,% change,13301.0,135
Georgia,Washington,100.0,% change,13303.0,143
Georgia,Wayne,nan,% change,13305.0,147
Georgia,Webster,-60.56338028169014,% change,13307.0,149
Georgia,Wheeler,nan,% change,13309.0,154
Georgia,White,nan,% change,13311.0,157
Georgia,Whitfield,nan,% change,13313.0,159
Georgia,Wilcox,nan,% change,13315.0,163
Georgia,Wilkes,nan,% change,13317.0,167
Georgia,Wilkinson,50.0,% change,13319.0,169
Georgia,Worth,nan,% change,13321.0,173
Hawaii,Hawaii,44.77351916376306,% change,15001.0,198
Hawaii,Honolulu,17.90373369320738,% change,15003.0,234
Hawaii,Kalawao,nan,% change,15005.0,247
Hawaii,Kauai,32.83582089552239,% change,15007.0,261
Hawaii,Maui,nan,% change,15009.0,323
Idaho,Ada,nan,% change,16001.0,336
Idaho,Adams,nan,% change,16003.0,338
Idaho,Bannock,195.89928057553956,% change,16005.0,343
Idaho,Bear Lake,nan,% change,16007.0,349
Idaho,Benewah,nan,% change,16009.0,354
Idaho,Bingham,6.80698296494439,% change,16011.0,362
Idaho,Blaine,nan,% change,16013.0,371
Idaho,Boise,nan,% change,16015.0,380
Idaho,Bonner,675.0,% change,16017.0,387
Idaho,Bonneville,-2.990436428952862,% change,16019.0,395
Idaho,Boundary,10.0,% change,16021.0,405
Idaho,Butte,nan,% change,16023.0,414
Idaho,Camas,nan,% change,16025.0,429
Idaho,Canyon,2.738500089493467,% change,16027.0,441
Idaho,Caribou,39.258434118395925,% change,16029.0,449
