State,County,Expenditures per capita fast food 2012 (PC_FFRSALES12),Units,FIPS,FID
Alabama,Autauga,674.8027203993418,Dollars,1001,5
Alabama,Baldwin,674.8027203993418,Dollars,1003,20
Alabama,Barbour,674.8027203993418,Dollars,1005,25
Alabama,Bibb,674.8027203993418,Dollars,1007,29
Alabama,Blount,674.8027203993418,Dollars,1009,33
Alabama,Bullock,674.8027203993418,Dollars,1011,37
Alabama,Butler,674.8027203993418,Dollars,1013,39
Alabama,Calhoun,674.8027203993418,Dollars,1015,43
Alabama,Chambers,674.8027203993418,Dollars,1017,47
Alabama,Cherokee,674.8027203993418,Dollars,1019,51
Alabama,Chilton,674.8027203993418,Dollars,1021,56
Alabama,Choctaw,674.8027203993418,Dollars,1023,58
Alabama,Clarke,674.8027203993418,Dollars,1025,61
Alabama,Clay,674.8027203993418,Dollars,1027,65
Alabama,Cleburne,674.8027203993418,Dollars,1029,67
Alabama,Coffee,674.8027203993418,Dollars,1031,70
Alabama,Colbert,674.8027203993418,Dollars,1033,73
Alabama,Conecuh,674.8027203993418,Dollars,1035,80
Alabama,Coosa,674.8027203993418,Dollars,1037,82
Alabama,Covington,674.8027203993418,Dollars,1039,88
Alabama,Crenshaw,674.8027203993418,Dollars,1041,90
Alabama,Cullman,674.8027203993418,Dollars,1043,98
Alabama,Dale,674.8027203993418,Dollars,1045,101
Alabama,Dallas,674.8027203993418,Dollars,1047,110
Alabama,DeKalb,674.8027203993418,Dollars,1049,112
Alabama,Elmore,674.8027203993418,Dollars,1051,118
Alabama,Escambia,674.8027203993418,Dollars,1053,122
Alabama,Etowah,674.8027203993418,Dollars,1055,131
Alabama,Fayette,674.8027203993418,Dollars,1057,134
Alabama,Franklin,674.8027203993418,Dollars,1059,138
Alabama,Geneva,674.8027203993418,Dollars,1061,140
Alabama,Greene,674.8027203993418,Dollars,1063,148
Alabama,Hale,674.8027203993418,Dollars,1065,150
Alabama,Henry,674.8027203993418,Dollars,1067,158
Alabama,Houston,674.8027203993418,Dollars,1069,160
Alabama,Jackson,674.8027203993418,Dollars,1071,164
Alabama,Jefferson,674.8027203993418,Dollars,1073,171
Alabama,Lamar,674.8027203993418,Dollars,1075,174
Alabama,Lauderdale,674.8027203993418,Dollars,1077,176
Alabama,Lawrence,674.8027203993418,Dollars,1079,181
Alabama,Lee,674.8027203993418,Dollars,1081,187
Alabama,Limestone,674.8027203993418,Dollars,1083,197
Alabama,Lowndes,674.8027203993418,Dollars,1085,205
Alabama,Macon,674.8027203993418,Dollars,1087,210
Alabama,Madison,674.8027203993418,Dollars,1089,217
Alabama,Marengo,674.8027203993418,Dollars,1091,220
Alabama,Marion,674.8027203993418,Dollars,1093,224
Alabama,Marshall,674.8027203993418,Dollars,1095,231
Alabama,Mobile,674.8027203993418,Dollars,1097,240
Alabama,Monroe,674.8027203993418,Dollars,1099,250
Alabama,Montgomery,674.8027203993418,Dollars,1101,256
Alabama,Morgan,674.8027203993418,Dollars,1103,262
Alabama,Perry,674.8027203993418,Dollars,1105,264
Alabama,Pickens,674.8027203993418,Dollars,1107,273
Alabama,Pike,674.8027203993418,Dollars,1109,279
Alabama,Randolph,674.8027203993418,Dollars,1111,284
Alabama,Russell,674.8027203993418,Dollars,1113,288
Alabama,St. Clair,674.8027203993418,Dollars,1115,292
Alabama,Shelby,674.8027203993418,Dollars,1117,298
Alabama,Sumter,674.8027203993418,Dollars,1119,303
Alabama,Talladega,674.8027203993418,Dollars,1121,306
Alabama,Tallapoosa,674.8027203993418,Dollars,1123,308
Alabama,Tuscaloosa,674.8027203993418,Dollars,1125,313
Alabama,Walker,674.8027203993418,Dollars,1127,317
Alabama,Washington,674.8027203993418,Dollars,1129,319
Alabama,Wilcox,674.8027203993418,Dollars,1131,326
Alabama,Winston,674.8027203993418,Dollars,1133,332
Alaska,Aleutians East,511.4807882164624,Dollars,2013,346
Alaska,Aleutians West,511.4807882164624,Dollars,2016,381
Alaska,Anchorage,511.4807882164624,Dollars,2020,400
Alaska,Bethel,511.4807882164624,Dollars,2050,411
Alaska,Bristol Bay,511.4807882164624,Dollars,2060,423
Alaska,Denali,511.4807882164624,Dollars,2068,426
Alaska,Dillingham,511.4807882164624,Dollars,2070,445
Alaska,Fairbanks North Star,511.4807882164624,Dollars,2090,454
Alaska,Haines,511.4807882164624,Dollars,2100,462
Alaska,Hoonah-Angoon,511.4807882164624,Dollars,2105,476
Alaska,Juneau,511.4807882164624,Dollars,2110,482
Alaska,Kenai Peninsula,511.4807882164624,Dollars,2122,494
Alaska,Ketchikan Gateway,511.4807882164624,Dollars,2130,514
Alaska,Kodiak Island,511.4807882164624,Dollars,2150,533
Alaska,Lake and Peninsula,511.4807882164624,Dollars,2164,544
