State,County,Expenditures per capita fast food 2007 (PC_FFRSALES07),Units,FIPS,FID
Alabama,Autauga,649.5113669582424,Dollars,1001,5
Alabama,Baldwin,649.5113669582424,Dollars,1003,20
Alabama,Barbour,649.5113669582424,Dollars,1005,25
Alabama,Bibb,649.5113669582424,Dollars,1007,29
Alabama,Blount,649.5113669582424,Dollars,1009,33
Alabama,Bullock,649.5113669582424,Dollars,1011,37
Alabama,Butler,649.5113669582424,Dollars,1013,39
Alabama,Calhoun,649.5113669582424,Dollars,1015,43
Alabama,Chambers,649.5113669582424,Dollars,1017,47
Alabama,Cherokee,649.5113669582424,Dollars,1019,51
Alabama,Chilton,649.5113669582424,Dollars,1021,56
Alabama,Choctaw,649.5113669582424,Dollars,1023,58
Alabama,Clarke,649.5113669582424,Dollars,1025,61
Alabama,Clay,649.5113669582424,Dollars,1027,65
Alabama,Cleburne,649.5113669582424,Dollars,1029,67
Alabama,Coffee,649.5113669582424,Dollars,1031,70
Alabama,Colbert,649.5113669582424,Dollars,1033,73
Alabama,Conecuh,649.5113669582424,Dollars,1035,80
Alabama,Coosa,649.5113669582424,Dollars,1037,82
Alabama,Covington,649.5113669582424,Dollars,1039,88
Alabama,Crenshaw,649.5113669582424,Dollars,1041,90
Alabama,Cullman,649.5113669582424,Dollars,1043,98
Alabama,Dale,649.5113669582424,Dollars,1045,101
Alabama,Dallas,649.5113669582424,Dollars,1047,110
Alabama,DeKalb,649.5113669582424,Dollars,1049,112
Alabama,Elmore,649.5113669582424,Dollars,1051,118
Alabama,Escambia,649.5113669582424,Dollars,1053,122
Alabama,Etowah,649.5113669582424,Dollars,1055,131
Alabama,Fayette,649.5113669582424,Dollars,1057,134
Alabama,Franklin,649.5113669582424,Dollars,1059,138
Alabama,Geneva,649.5113669582424,Dollars,1061,140
Alabama,Greene,649.5113669582424,Dollars,1063,148
Alabama,Hale,649.5113669582424,Dollars,1065,150
Alabama,Henry,649.5113669582424,Dollars,1067,158
Alabama,Houston,649.5113669582424,Dollars,1069,160
Alabama,Jackson,649.5113669582424,Dollars,1071,164
Alabama,Jefferson,649.5113669582424,Dollars,1073,171
Alabama,Lamar,649.5113669582424,Dollars,1075,174
Alabama,Lauderdale,649.5113669582424,Dollars,1077,176
Alabama,Lawrence,649.5113669582424,Dollars,1079,181
Alabama,Lee,649.5113669582424,Dollars,1081,187
Alabama,Limestone,649.5113669582424,Dollars,1083,197
Alabama,Lowndes,649.5113669582424,Dollars,1085,205
Alabama,Macon,649.5113669582424,Dollars,1087,210
Alabama,Madison,649.5113669582424,Dollars,1089,217
Alabama,Marengo,649.5113669582424,Dollars,1091,220
Alabama,Marion,649.5113669582424,Dollars,1093,224
Alabama,Marshall,649.5113669582424,Dollars,1095,231
Alabama,Mobile,649.5113669582424,Dollars,1097,240
Alabama,Monroe,649.5113669582424,Dollars,1099,250
Alabama,Montgomery,649.5113669582424,Dollars,1101,256
Alabama,Morgan,649.5113669582424,Dollars,1103,262
Alabama,Perry,649.5113669582424,Dollars,1105,264
Alabama,Pickens,649.5113669582424,Dollars,1107,273
Alabama,Pike,649.5113669582424,Dollars,1109,279
Alabama,Randolph,649.5113669582424,Dollars,1111,284
Alabama,Russell,649.5113669582424,Dollars,1113,288
Alabama,St. Clair,649.5113669582424,Dollars,1115,292
Alabama,Shelby,649.5113669582424,Dollars,1117,298
Alabama,Sumter,649.5113669582424,Dollars,1119,303
Alabama,Talladega,649.5113669582424,Dollars,1121,306
Alabama,Tallapoosa,649.5113669582424,Dollars,1123,308
Alabama,Tuscaloosa,649.5113669582424,Dollars,1125,313
Alabama,Walker,649.5113669582424,Dollars,1127,317
Alabama,Washington,649.5113669582424,Dollars,1129,319
Alabama,Wilcox,649.5113669582424,Dollars,1131,326
Alabama,Winston,649.5113669582424,Dollars,1133,332
Alaska,Aleutians East,582.7155098160566,Dollars,2013,346
Alaska,Aleutians West,582.7155098160566,Dollars,2016,381
Alaska,Anchorage,582.7155098160566,Dollars,2020,400
Alaska,Bethel,582.7155098160566,Dollars,2050,411
Alaska,Bristol Bay,582.7155098160566,Dollars,2060,423
Alaska,Denali,582.7155098160566,Dollars,2068,426
Alaska,Dillingham,582.7155098160566,Dollars,2070,445
Alaska,Fairbanks North Star,582.7155098160566,Dollars,2090,454
Alaska,Haines,582.7155098160566,Dollars,2100,462
Alaska,Hoonah-Angoon,582.715509816057,Dollars,2105,476
Alaska,Juneau,582.7155098160566,Dollars,2110,482
Alaska,Kenai Peninsula,582.7155098160566,Dollars,2122,494
Alaska,Ketchikan Gateway,582.7155098160566,Dollars,2130,514
Alaska,Kodiak Island,582.7155098160566,Dollars,2150,533
Alaska,Lake and Peninsula,582.7155098160566,Dollars,2164,544
Alaska,Matanuska-Susitna,582.7155098160566,Dollars,2170,556
Alaska,Nome,582.7155098160566,Dollars,2180,571
Alaska,North Slope,582.7155098160566,Dollars,2185,614
Alaska,Northwest Arctic,582.7155098160566,Dollars,2188,638
Alaska,Petersburg,582.715509816057,Dollars,2195,645
Alaska,Prince of Wales-Hyder,582.715509816057,Dollars,2198,669
Alaska,Sitka,582.7155098160566,Dollars,2220,679
Alaska,Skagway,582.715509816057,Dollars,2230,683
Alaska,Southeast Fairbanks,582.7155098160566,Dollars,2240,690
Alaska,Valdez-Cordova,582.7155098160566,Dollars,2261,710
Alaska,Wade Hampton,582.7155098160566,Dollars,2270,725
Alaska,Wrangell,582.715509816057,Dollars,2275,733
Alaska,Yakutat,582.7155098160566,Dollars,2282,744
Alaska,Yukon-Koyukuk,582.7155098160566,Dollars,2290,753
Arizona,Apache,760.5004607619491,Dollars,4001,761
Arizona,Cochise,760.5004607619491,Dollars,4003,763
Arizona,Coconino,760.5004607619491,Dollars,4005,771
Arizona,Gila,760.5004607619491,Dollars,4007,787
Arizona,Graham,760.5004607619491,Dollars,4009,0
Arizona,Greenlee,760.5004607619491,Dollars,4011,1
Arizona,La Paz,760.5004607619491,Dollars,4012,3
Arizona,Maricopa,760.5004607619491,Dollars,4013,9
Arizona,Mohave,760.5004607619491,Dollars,4015,15
Arizona,Navajo,760.5004607619491,Dollars,4017,17
Arizona,Pima,760.5004607619491,Dollars,4019,21
Arizona,Pinal,760.5004607619491,Dollars,4021,26
Arizona,Santa Cruz,760.5004607619491,Dollars,4023,32
Arizona,Yavapai,760.5004607619491,Dollars,4025,35
Arizona,Yuma,760.5004607619491,Dollars,4027,42
Arkansas,Arkansas,576.2104436298347,Dollars,5001,46
Arkansas,Ashley,576.2104436298347,Dollars,5003,50
Arkansas,Baxter,576.2104436298347,Dollars,5005,54
Arkansas,Benton,576.2104436298347,Dollars,5007,59
Arkansas,Boone,576.2104436298347,Dollars,5009,62
Arkansas,Bradley,576.2104436298347,Dollars,5011,68
Arkansas,Calhoun,576.2104436298347,Dollars,5013,72
Arkansas,Carroll,576.2104436298347,Dollars,5015,74
Arkansas,Chicot,576.2104436298347,Dollars,5017,77
Arkansas,Clark,576.2104436298347,Dollars,5019,86
Arkansas,Clay,576.2104436298347,Dollars,5021,93
Arkansas,Cleburne,576.2104436298347,Dollars,5023,97
Arkansas,Cleveland,576.2104436298347,Dollars,5025,103
Arkansas,Columbia,576.2104436298347,Dollars,5027,107
Arkansas,Conway,576.2104436298347,Dollars,5029,109
Arkansas,Craighead,576.2104436298347,Dollars,5031,114
Arkansas,Crawford,576.2104436298347,Dollars,5033,115
Arkansas,Crittenden,576.2104436298347,Dollars,5035,119
Arkansas,Cross,576.2104436298347,Dollars,5037,124
Arkansas,Dallas,576.2104436298347,Dollars,5039,128
Arkansas,Desha,576.2104436298347,Dollars,5041,130
Arkansas,Drew,576.2104436298347,Dollars,5043,136
Arkansas,Faulkner,576.2104436298347,Dollars,5045,141
Arkansas,Franklin,576.2104436298347,Dollars,5047,144
Arkansas,Fulton,576.2104436298347,Dollars,5049,146
Arkansas,Garland,576.2104436298347,Dollars,5051,151
Arkansas,Grant,576.2104436298347,Dollars,5053,155
Arkansas,Greene,576.2104436298347,Dollars,5055,162
Arkansas,Hempstead,576.2104436298347,Dollars,5057,172
Arkansas,Hot Spring,576.2104436298347,Dollars,5059,184
Arkansas,Howard,576.2104436298347,Dollars,5061,191
Arkansas,Independence,576.2104436298347,Dollars,5063,200
Arkansas,Izard,576.2104436298347,Dollars,5065,203
Arkansas,Jackson,576.2104436298347,Dollars,5067,209
Arkansas,Jefferson,576.2104436298347,Dollars,5069,213
Arkansas,Johnson,576.2104436298347,Dollars,5071,218
Arkansas,Lafayette,576.2104436298347,Dollars,5073,222
Arkansas,Lawrence,576.2104436298347,Dollars,5075,230
Arkansas,Lee,576.2104436298347,Dollars,5077,237
Arkansas,Lincoln,576.2104436298347,Dollars,5079,244
Arkansas,Little River,576.2104436298347,Dollars,5081,251
Arkansas,Logan,576.2104436298347,Dollars,5083,258
Arkansas,Lonoke,576.2104436298347,Dollars,5085,268
Arkansas,Madison,576.2104436298347,Dollars,5087,277
Arkansas,Marion,576.2104436298347,Dollars,5089,282
Arkansas,Miller,576.2104436298347,Dollars,5091,287
Arkansas,Mississippi,576.2104436298347,Dollars,5093,294
Arkansas,Monroe,576.2104436298347,Dollars,5095,300
