State,County,Convenience stores per 1000 pop 2011 (CONVSPTH11),Units,FIPS,FID
Alabama,Autauga,0.561604377,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.573621967,"# per 1,000 pop",1003,20
Alabama,Barbour,0.804358159,"# per 1,000 pop",1005,25
Alabama,Bibb,0.835348428,"# per 1,000 pop",1007,29
Alabama,Blount,0.521177165,"# per 1,000 pop",1009,33
Alabama,Bullock,0.18735363,"# per 1,000 pop",1011,37
Alabama,Butler,1.053639847,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.738633952,"# per 1,000 pop",1015,43
Alabama,Chambers,0.764009286,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.654022237,"# per 1,000 pop",1019,51
Alabama,Chilton,0.755356162,"# per 1,000 pop",1021,56
Alabama,Choctaw,1.175865363,"# per 1,000 pop",1023,58
Alabama,Clarke,0.625439762,"# per 1,000 pop",1025,61
Alabama,Clay,0.36528346,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.602893891,"# per 1,000 pop",1029,67
Alabama,Coffee,0.495697347,"# per 1,000 pop",1031,70
Alabama,Colbert,0.898522023,"# per 1,000 pop",1033,73
Alabama,Conecuh,1.364980663,"# per 1,000 pop",1035,80
Alabama,Coosa,0.957854406,"# per 1,000 pop",1037,82
Alabama,Covington,0.868032722,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.791480789,"# per 1,000 pop",1041,90
Alabama,Cullman,0.708858241,"# per 1,000 pop",1043,98
Alabama,Dale,0.71846249,"# per 1,000 pop",1045,101
Alabama,Dallas,0.832254485,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.644682074,"# per 1,000 pop",1049,112
Alabama,Elmore,0.737444692,"# per 1,000 pop",1051,118
Alabama,Escambia,0.759122559,"# per 1,000 pop",1053,122
Alabama,Etowah,0.680376411,"# per 1,000 pop",1055,131
Alabama,Fayette,0.64516129,"# per 1,000 pop",1057,134
Alabama,Franklin,1.007334655,"# per 1,000 pop",1059,138
Alabama,Geneva,0.523168909,"# per 1,000 pop",1061,140
Alabama,Greene,1.234983721,"# per 1,000 pop",1063,148
Alabama,Hale,0.846464383,"# per 1,000 pop",1065,150
Alabama,Henry,0.863259669,"# per 1,000 pop",1067,158
Alabama,Houston,0.712417535,"# per 1,000 pop",1069,160
Alabama,Jackson,0.732917387,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.696271905,"# per 1,000 pop",1073,171
Alabama,Lamar,0.559949605,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.593933242,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.616794431,"# per 1,000 pop",1079,181
Alabama,Lee,0.5204105,"# per 1,000 pop",1081,187
Alabama,Limestone,0.654741027,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.718778077,"# per 1,000 pop",1085,205
Alabama,Macon,0.704754745,"# per 1,000 pop",1087,210
Alabama,Madison,0.621467429,"# per 1,000 pop",1089,217
Alabama,Marengo,0.871712916,"# per 1,000 pop",1091,220
Alabama,Marion,0.587275693,"# per 1,000 pop",1093,224
Alabama,Marshall,0.62839493,"# per 1,000 pop",1095,231
Alabama,Mobile,0.551748171,"# per 1,000 pop",1097,240
Alabama,Monroe,0.701754386,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.593466631,"# per 1,000 pop",1101,256
Alabama,Morgan,0.824951878,"# per 1,000 pop",1103,262
Alabama,Perry,0.668449198,"# per 1,000 pop",1105,264
Alabama,Pickens,0.516689057,"# per 1,000 pop",1107,273
