State,County,Household very low food security (% three-year average) 2012-14 (VLFOODSEC_12_14),Units,FIPS,FID
Alabama,Autauga,7.2,Percent,1001,5
Alabama,Baldwin,7.2,Percent,1003,20
Alabama,Barbour,7.2,Percent,1005,25
Alabama,Bibb,7.2,Percent,1007,29
Alabama,Blount,7.2,Percent,1009,33
Alabama,Bullock,7.2,Percent,1011,37
Alabama,Butler,7.2,Percent,1013,39
Alabama,Calhoun,7.2,Percent,1015,43
Alabama,Chambers,7.2,Percent,1017,47
Alabama,Cherokee,7.2,Percent,1019,51
Alabama,Chilton,7.2,Percent,1021,56
Alabama,Choctaw,7.2,Percent,1023,58
Alabama,Clarke,7.2,Percent,1025,61
Alabama,Clay,7.2,Percent,1027,65
Alabama,Cleburne,7.2,Percent,1029,67
Alabama,Coffee,7.2,Percent,1031,70
Alabama,Colbert,7.2,Percent,1033,73
Alabama,Conecuh,7.2,Percent,1035,80
Alabama,Coosa,7.2,Percent,1037,82
Alabama,Covington,7.2,Percent,1039,88
Alabama,Crenshaw,7.2,Percent,1041,90
Alabama,Cullman,7.2,Percent,1043,98
Alabama,Dale,7.2,Percent,1045,101
Alabama,Dallas,7.2,Percent,1047,110
Alabama,DeKalb,7.2,Percent,1049,112
Alabama,Elmore,7.2,Percent,1051,118
Alabama,Escambia,7.2,Percent,1053,122
Alabama,Etowah,7.2,Percent,1055,131
Alabama,Fayette,7.2,Percent,1057,134
Alabama,Franklin,7.2,Percent,1059,138
Alabama,Geneva,7.2,Percent,1061,140
Alabama,Greene,7.2,Percent,1063,148
Alabama,Hale,7.2,Percent,1065,150
Alabama,Henry,7.2,Percent,1067,158
Alabama,Houston,7.2,Percent,1069,160
Alabama,Jackson,7.2,Percent,1071,164
Alabama,Jefferson,7.2,Percent,1073,171
Alabama,Lamar,7.2,Percent,1075,174
Alabama,Lauderdale,7.2,Percent,1077,176
Alabama,Lawrence,7.2,Percent,1079,181
Alabama,Lee,7.2,Percent,1081,187
Alabama,Limestone,7.2,Percent,1083,197
Alabama,Lowndes,7.2,Percent,1085,205
Alabama,Macon,7.2,Percent,1087,210
Alabama,Madison,7.2,Percent,1089,217
Alabama,Marengo,7.2,Percent,1091,220
Alabama,Marion,7.2,Percent,1093,224
Alabama,Marshall,7.2,Percent,1095,231
Alabama,Mobile,7.2,Percent,1097,240
Alabama,Monroe,7.2,Percent,1099,250
Alabama,Montgomery,7.2,Percent,1101,256
Alabama,Morgan,7.2,Percent,1103,262
Alabama,Perry,7.2,Percent,1105,264
Alabama,Pickens,7.2,Percent,1107,273
Alabama,Pike,7.2,Percent,1109,279
Alabama,Randolph,7.2,Percent,1111,284
Alabama,Russell,7.2,Percent,1113,288
Alabama,St. Clair,7.2,Percent,1115,292
Alabama,Shelby,7.2,Percent,1117,298
Alabama,Sumter,7.2,Percent,1119,303
Alabama,Talladega,7.2,Percent,1121,306
Alabama,Tallapoosa,7.2,Percent,1123,308
Alabama,Tuscaloosa,7.2,Percent,1125,313
Alabama,Walker,7.2,Percent,1127,317
Alabama,Washington,7.2,Percent,1129,319
Alabama,Wilcox,7.2,Percent,1131,326
Alabama,Winston,7.2,Percent,1133,332
Alaska,Aleutians East,4.3,Percent,2013,346
Alaska,Aleutians West,4.3,Percent,2016,381
Alaska,Anchorage,4.3,Percent,2020,400
Alaska,Bethel,4.3,Percent,2050,411
Alaska,Bristol Bay,4.3,Percent,2060,423
Alaska,Denali,4.3,Percent,2068,426
Alaska,Dillingham,4.3,Percent,2070,445
Alaska,Fairbanks North Star,4.3,Percent,2090,454
Alaska,Haines,4.3,Percent,2100,462
Alaska,Hoonah-Angoon,4.3,Percent,2105,476
Alaska,Juneau,4.3,Percent,2110,482
Alaska,Kenai Peninsula,4.3,Percent,2122,494
Alaska,Ketchikan Gateway,4.3,Percent,2130,514
Alaska,Kodiak Island,4.3,Percent,2150,533
Alaska,Lake and Peninsula,4.3,Percent,2164,544
Alaska,Matanuska-Susitna,4.3,Percent,2170,556
Alaska,Nome,4.3,Percent,2180,571
Alaska,North Slope,4.3,Percent,2185,614
Alaska,Northwest Arctic,4.3,Percent,2188,638
Alaska,Petersburg,4.3,Percent,2195,645
Alaska,Prince of Wales-Hyder,4.3,Percent,2198,669
Alaska,Sitka,4.3,Percent,2220,679
Alaska,Skagway,4.3,Percent,2230,683
Alaska,Southeast Fairbanks,4.3,Percent,2240,690
Alaska,Valdez-Cordova,4.3,Percent,2261,710
Alaska,Wade Hampton,4.3,Percent,2270,725
Alaska,Wrangell,4.3,Percent,2275,733
Alaska,Yakutat,4.3,Percent,2282,744
Alaska,Yukon-Koyukuk,4.3,Percent,2290,753
Arizona,Apache,8.1,Percent,4001,761
Arizona,Cochise,8.1,Percent,4003,763
Arizona,Coconino,8.1,Percent,4005,771
Arizona,Gila,8.1,Percent,4007,787
Arizona,Graham,8.1,Percent,4009,0
Arizona,Greenlee,8.1,Percent,4011,1
Arizona,La Paz,8.1,Percent,4012,3
Arizona,Maricopa,8.1,Percent,4013,9
Arizona,Mohave,8.1,Percent,4015,15
Arizona,Navajo,8.1,Percent,4017,17
Arizona,Pima,8.1,Percent,4019,21
Arizona,Pinal,8.1,Percent,4021,26
Arizona,Santa Cruz,8.1,Percent,4023,32
Arizona,Yavapai,8.1,Percent,4025,35
Arizona,Yuma,8.1,Percent,4027,42
Arkansas,Arkansas,6.2,Percent,5001,46
Arkansas,Ashley,6.2,Percent,5003,50
Arkansas,Baxter,6.2,Percent,5005,54
Arkansas,Benton,6.2,Percent,5007,59
Arkansas,Boone,6.2,Percent,5009,62
Arkansas,Bradley,6.2,Percent,5011,68
Arkansas,Calhoun,6.2,Percent,5013,72
