State,County,Expenditures per capita restaurants 2007 (PC_FSRSALES07),Units,FIPS,FID
Alabama,Autauga,484.3815070495379,Dollars,1001,5
Alabama,Baldwin,484.3815070495379,Dollars,1003,20
Alabama,Barbour,484.3815070495379,Dollars,1005,25
Alabama,Bibb,484.3815070495379,Dollars,1007,29
Alabama,Blount,484.3815070495379,Dollars,1009,33
Alabama,Bullock,484.3815070495379,Dollars,1011,37
Alabama,Butler,484.3815070495379,Dollars,1013,39
Alabama,Calhoun,484.3815070495379,Dollars,1015,43
Alabama,Chambers,484.3815070495379,Dollars,1017,47
Alabama,Cherokee,484.3815070495379,Dollars,1019,51
Alabama,Chilton,484.3815070495379,Dollars,1021,56
Alabama,Choctaw,484.3815070495379,Dollars,1023,58
Alabama,Clarke,484.3815070495379,Dollars,1025,61
Alabama,Clay,484.3815070495379,Dollars,1027,65
Alabama,Cleburne,484.3815070495379,Dollars,1029,67
Alabama,Coffee,484.3815070495379,Dollars,1031,70
Alabama,Colbert,484.3815070495379,Dollars,1033,73
Alabama,Conecuh,484.3815070495379,Dollars,1035,80
Alabama,Coosa,484.3815070495379,Dollars,1037,82
Alabama,Covington,484.3815070495379,Dollars,1039,88
Alabama,Crenshaw,484.3815070495379,Dollars,1041,90
Alabama,Cullman,484.3815070495379,Dollars,1043,98
Alabama,Dale,484.3815070495379,Dollars,1045,101
Alabama,Dallas,484.3815070495379,Dollars,1047,110
Alabama,DeKalb,484.3815070495379,Dollars,1049,112
Alabama,Elmore,484.3815070495379,Dollars,1051,118
Alabama,Escambia,484.3815070495379,Dollars,1053,122
Alabama,Etowah,484.3815070495379,Dollars,1055,131
Alabama,Fayette,484.3815070495379,Dollars,1057,134
Alabama,Franklin,484.3815070495379,Dollars,1059,138
Alabama,Geneva,484.3815070495379,Dollars,1061,140
Alabama,Greene,484.3815070495379,Dollars,1063,148
Alabama,Hale,484.3815070495379,Dollars,1065,150
Alabama,Henry,484.3815070495379,Dollars,1067,158
Alabama,Houston,484.3815070495379,Dollars,1069,160
Alabama,Jackson,484.3815070495379,Dollars,1071,164
Alabama,Jefferson,484.3815070495379,Dollars,1073,171
Alabama,Lamar,484.3815070495379,Dollars,1075,174
Alabama,Lauderdale,484.3815070495379,Dollars,1077,176
Alabama,Lawrence,484.3815070495379,Dollars,1079,181
Alabama,Lee,484.3815070495379,Dollars,1081,187
Alabama,Limestone,484.3815070495379,Dollars,1083,197
Alabama,Lowndes,484.3815070495379,Dollars,1085,205
Alabama,Macon,484.3815070495379,Dollars,1087,210
Alabama,Madison,484.3815070495379,Dollars,1089,217
Alabama,Marengo,484.3815070495379,Dollars,1091,220
Alabama,Marion,484.3815070495379,Dollars,1093,224
Alabama,Marshall,484.3815070495379,Dollars,1095,231
Alabama,Mobile,484.3815070495379,Dollars,1097,240
Alabama,Monroe,484.3815070495379,Dollars,1099,250
Alabama,Montgomery,484.3815070495379,Dollars,1101,256
Alabama,Morgan,484.3815070495379,Dollars,1103,262
Alabama,Perry,484.3815070495379,Dollars,1105,264
Alabama,Pickens,484.3815070495379,Dollars,1107,273
Alabama,Pike,484.3815070495379,Dollars,1109,279
Alabama,Randolph,484.3815070495379,Dollars,1111,284
Alabama,Russell,484.3815070495379,Dollars,1113,288
Alabama,St. Clair,484.3815070495379,Dollars,1115,292
Alabama,Shelby,484.3815070495379,Dollars,1117,298
Alabama,Sumter,484.3815070495379,Dollars,1119,303
Alabama,Talladega,484.3815070495379,Dollars,1121,306
Alabama,Tallapoosa,484.3815070495379,Dollars,1123,308
Alabama,Tuscaloosa,484.3815070495379,Dollars,1125,313
Alabama,Walker,484.3815070495379,Dollars,1127,317
Alabama,Washington,484.3815070495379,Dollars,1129,319
Alabama,Wilcox,484.3815070495379,Dollars,1131,326
Alabama,Winston,484.3815070495379,Dollars,1133,332
Alaska,Aleutians East,688.0841941390773,Dollars,2013,346
Alaska,Aleutians West,688.0841941390773,Dollars,2016,381
Alaska,Anchorage,688.0841941390773,Dollars,2020,400
Alaska,Bethel,688.0841941390773,Dollars,2050,411
Alaska,Bristol Bay,688.0841941390773,Dollars,2060,423
Alaska,Denali,688.0841941390773,Dollars,2068,426
Alaska,Dillingham,688.0841941390773,Dollars,2070,445
Alaska,Fairbanks North Star,688.0841941390773,Dollars,2090,454
Alaska,Haines,688.0841941390773,Dollars,2100,462
Alaska,Hoonah-Angoon,688.084194139077,Dollars,2105,476
Alaska,Juneau,688.0841941390773,Dollars,2110,482
Alaska,Kenai Peninsula,688.0841941390773,Dollars,2122,494
Alaska,Ketchikan Gateway,688.0841941390773,Dollars,2130,514
Alaska,Kodiak Island,688.0841941390773,Dollars,2150,533
Alaska,Lake and Peninsula,688.0841941390773,Dollars,2164,544
Alaska,Matanuska-Susitna,688.0841941390773,Dollars,2170,556
Alaska,Nome,688.0841941390773,Dollars,2180,571
Alaska,North Slope,688.0841941390773,Dollars,2185,614
Alaska,Northwest Arctic,688.0841941390773,Dollars,2188,638
Alaska,Petersburg,688.084194139077,Dollars,2195,645
Alaska,Prince of Wales-Hyder,688.084194139077,Dollars,2198,669
Alaska,Sitka,688.0841941390773,Dollars,2220,679
Alaska,Skagway,688.084194139077,Dollars,2230,683
Alaska,Southeast Fairbanks,688.0841941390773,Dollars,2240,690
Alaska,Valdez-Cordova,688.0841941390773,Dollars,2261,710
Alaska,Wade Hampton,688.0841941390773,Dollars,2270,725
Alaska,Wrangell,688.084194139077,Dollars,2275,733
Alaska,Yakutat,688.0841941390773,Dollars,2282,744
Alaska,Yukon-Koyukuk,688.0841941390773,Dollars,2290,753
Arizona,Apache,758.6283717093722,Dollars,4001,761
Arizona,Cochise,758.6283717093722,Dollars,4003,763
Arizona,Coconino,758.6283717093722,Dollars,4005,771
Arizona,Gila,758.6283717093722,Dollars,4007,787
Arizona,Graham,758.6283717093722,Dollars,4009,0
Arizona,Greenlee,758.6283717093722,Dollars,4011,1
Arizona,La Paz,758.6283717093722,Dollars,4012,3
Arizona,Maricopa,758.6283717093722,Dollars,4013,9
Arizona,Mohave,758.6283717093722,Dollars,4015,15
Arizona,Navajo,758.6283717093722,Dollars,4017,17
Arizona,Pima,758.6283717093722,Dollars,4019,21
Arizona,Pinal,758.6283717093722,Dollars,4021,26
Arizona,Santa Cruz,758.6283717093722,Dollars,4023,32
Arizona,Yavapai,758.6283717093722,Dollars,4025,35
Arizona,Yuma,758.6283717093722,Dollars,4027,42
Arkansas,Arkansas,444.9218223984439,Dollars,5001,46
Arkansas,Ashley,444.9218223984439,Dollars,5003,50
Arkansas,Baxter,444.9218223984439,Dollars,5005,54
Arkansas,Benton,444.9218223984439,Dollars,5007,59
Arkansas,Boone,444.9218223984439,Dollars,5009,62
Arkansas,Bradley,444.9218223984439,Dollars,5011,68
Arkansas,Calhoun,444.9218223984439,Dollars,5013,72
Arkansas,Carroll,444.9218223984439,Dollars,5015,74
Arkansas,Chicot,444.9218223984439,Dollars,5017,77
Arkansas,Clark,444.9218223984439,Dollars,5019,86
Arkansas,Clay,444.9218223984439,Dollars,5021,93
Arkansas,Cleburne,444.9218223984439,Dollars,5023,97
Arkansas,Cleveland,444.9218223984439,Dollars,5025,103
Arkansas,Columbia,444.9218223984439,Dollars,5027,107
Arkansas,Conway,444.9218223984439,Dollars,5029,109
Arkansas,Craighead,444.9218223984439,Dollars,5031,114
Arkansas,Crawford,444.9218223984439,Dollars,5033,115
Arkansas,Crittenden,444.9218223984439,Dollars,5035,119
Arkansas,Cross,444.9218223984439,Dollars,5037,124
Arkansas,Dallas,444.9218223984439,Dollars,5039,128
Arkansas,Desha,444.9218223984439,Dollars,5041,130
Arkansas,Drew,444.9218223984439,Dollars,5043,136
Arkansas,Faulkner,444.9218223984439,Dollars,5045,141
Arkansas,Franklin,444.9218223984439,Dollars,5047,144
Arkansas,Fulton,444.9218223984439,Dollars,5049,146
Arkansas,Garland,444.9218223984439,Dollars,5051,151
