State,County,Seniors low access to store 2010 (LACCESS_SENIORS10),Units,FIPS,FID
Alabama,Autauga,2388.23322829447,Count,1001,5
Alabama,Baldwin,6404.00860293696,Count,1003,20
Alabama,Barbour,770.214550126597,Count,1005,25
Alabama,Bibb,150.553323396136,Count,1007,29
Alabama,Blount,195.049051213748,Count,1009,33
Alabama,Bullock,554.388020740519,Count,1011,37
Alabama,Butler,254.954428314888,Count,1013,39
Alabama,Calhoun,4974.95713302801,Count,1015,43
Alabama,Chambers,1170.80546726137,Count,1017,47
Alabama,Cherokee,9.22233963641338,Count,1019,51
Alabama,Chilton,241.694569402323,Count,1021,56
Alabama,Choctaw,438.877645846124,Count,1023,58
Alabama,Clarke,729.134505776814,Count,1025,61
Alabama,Clay,134.718945384806,Count,1027,65
Alabama,Cleburne,29.1777438408681,Count,1029,67
Alabama,Coffee,1493.50541519682,Count,1031,70
Alabama,Colbert,1593.6470856718,Count,1033,73
Alabama,Conecuh,779.040221255049,Count,1035,80
Alabama,Coosa,565.564220348546,Count,1037,82
Alabama,Covington,657.153310251698,Count,1039,88
Alabama,Crenshaw,779.024073108413,Count,1041,90
Alabama,Cullman,1170.91596614792,Count,1043,98
Alabama,Dale,1375.39964462738,Count,1045,101
Alabama,Dallas,1274.10711580569,Count,1047,110
Alabama,DeKalb,258.253240700054,Count,1049,112
Alabama,Elmore,1592.19183335543,Count,1051,118
Alabama,Escambia,803.14342705435,Count,1053,122
Alabama,Etowah,4824.13658341105,Count,1055,131
Alabama,Fayette,66.6352747402768,Count,1057,134
Alabama,Franklin,399.214840354867,Count,1059,138
Alabama,Geneva,93.4204833348194,Count,1061,140
Alabama,Greene,522.338005754003,Count,1063,148
Alabama,Hale,11.7642912413908,Count,1065,150
Alabama,Henry,54.713893043715,Count,1067,158
Alabama,Houston,2620.31537400975,Count,1069,160
Alabama,Jackson,722.664588549539,Count,1071,164
Alabama,Jefferson,26850.5165618012,Count,1073,171
Alabama,Lamar,13.0588905544719,Count,1075,174
Alabama,Lauderdale,2341.76786899531,Count,1077,176
Alabama,Lawrence,192.706457659384,Count,1079,181
Alabama,Lee,3504.65333700164,Count,1081,187
Alabama,Limestone,1518.51733361957,Count,1083,197
Alabama,Lowndes,834.559381022675,Count,1085,205
Alabama,Macon,1050.54225871403,Count,1087,210
Alabama,Madison,12421.1933513786,Count,1089,217
Alabama,Marengo,882.342361939178,Count,1091,220
Alabama,Marion,99.4148215180048,Count,1093,224
Alabama,Marshall,1677.68203599469,Count,1095,231
Alabama,Mobile,14569.0263508074,Count,1097,240
Alabama,Monroe,1157.81791575667,Count,1099,250
Alabama,Montgomery,7483.77928800444,Count,1101,256
Alabama,Morgan,1986.35589007326,Count,1103,262
Alabama,Perry,232.096469513481,Count,1105,264
Alabama,Pickens,141.799515974886,Count,1107,273
Alabama,Pike,432.996457299535,Count,1109,279
Alabama,Randolph,186.693161805064,Count,1111,284
Alabama,Russell,1206.50246298085,Count,1113,288
Alabama,St. Clair,495.584384402144,Count,1115,292
