State,County,Grocery stores per 1000 pop 2011 (GROCPTH11),Units,FIPS,FID
Alabama,Autauga,0.090581351,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.14474573,"# per 1,000 pop",1003,20
Alabama,Barbour,0.219370407,"# per 1,000 pop",1005,25
Alabama,Bibb,0.26379424,"# per 1,000 pop",1007,29
Alabama,Blount,0.121608005,"# per 1,000 pop",1009,33
Alabama,Bullock,0.18735363,"# per 1,000 pop",1011,37
Alabama,Butler,0.143678161,"# per 1,000 pop",1013,39
Alabama,Calhoun,0.20376109,"# per 1,000 pop",1015,43
Alabama,Chambers,0.23507978,"# per 1,000 pop",1017,47
Alabama,Cherokee,0.153887585,"# per 1,000 pop",1019,51
Alabama,Chilton,0.160227065,"# per 1,000 pop",1021,56
Alabama,Choctaw,0.220474756,"# per 1,000 pop",1023,58
Alabama,Clarke,0.195449926,"# per 1,000 pop",1025,61
Alabama,Clay,0.219170076,"# per 1,000 pop",1027,65
Alabama,Cleburne,0.20096463,"# per 1,000 pop",1029,67
Alabama,Coffee,0.099139469,"# per 1,000 pop",1031,70
Alabama,Colbert,0.183371841,"# per 1,000 pop",1033,73
Alabama,Conecuh,0.379161295,"# per 1,000 pop",1035,80
Alabama,Coosa,0.0,"# per 1,000 pop",1037,82
Alabama,Covington,0.236736197,"# per 1,000 pop",1039,88
Alabama,Crenshaw,0.431716794,"# per 1,000 pop",1041,90
Alabama,Cullman,0.161669423,"# per 1,000 pop",1043,98
Alabama,Dale,0.159658331,"# per 1,000 pop",1045,101
Alabama,Dallas,0.184945441,"# per 1,000 pop",1047,110
Alabama,DeKalb,0.196207588,"# per 1,000 pop",1049,112
Alabama,Elmore,0.087493438,"# per 1,000 pop",1051,118
Alabama,Escambia,0.15705984,"# per 1,000 pop",1053,122
Alabama,Etowah,0.162907028,"# per 1,000 pop",1055,131
Alabama,Fayette,0.410557185,"# per 1,000 pop",1057,134
Alabama,Franklin,0.188875248,"# per 1,000 pop",1059,138
Alabama,Geneva,0.411061286,"# per 1,000 pop",1061,140
Alabama,Greene,0.224542495,"# per 1,000 pop",1063,148
Alabama,Hale,0.325563224,"# per 1,000 pop",1065,150
Alabama,Henry,0.172651934,"# per 1,000 pop",1067,158
Alabama,Houston,0.156146309,"# per 1,000 pop",1069,160
Alabama,Jackson,0.206720289,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.155064922,"# per 1,000 pop",1073,171
Alabama,Lamar,0.279974802,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.205176938,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.17622698,"# per 1,000 pop",1079,181
Alabama,Lee,0.090204487,"# per 1,000 pop",1081,187
Alabama,Limestone,0.151993453,"# per 1,000 pop",1083,197
Alabama,Lowndes,0.179694519,"# per 1,000 pop",1085,205
Alabama,Macon,0.234918248,"# per 1,000 pop",1087,210
Alabama,Madison,0.111923044,"# per 1,000 pop",1089,217
Alabama,Marengo,0.242142477,"# per 1,000 pop",1091,220
Alabama,Marion,0.195758564,"# per 1,000 pop",1093,224
Alabama,Marshall,0.234316754,"# per 1,000 pop",1095,231
Alabama,Mobile,0.142776939,"# per 1,000 pop",1097,240
Alabama,Monroe,0.263157895,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.152730383,"# per 1,000 pop",1101,256
Alabama,Morgan,0.158324098,"# per 1,000 pop",1103,262
Alabama,Perry,0.38197097,"# per 1,000 pop",1105,264
Alabama,Pickens,0.206675623,"# per 1,000 pop",1107,273
Alabama,Pike,0.242666909,"# per 1,000 pop",1109,279
Alabama,Randolph,0.175901495,"# per 1,000 pop",1111,284
Alabama,Russell,0.145897543,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.142499198,"# per 1,000 pop",1115,292
Alabama,Shelby,0.141496324,"# per 1,000 pop",1117,298
Alabama,Sumter,0.370617449,"# per 1,000 pop",1119,303
Alabama,Talladega,0.13448748,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.144948543,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.137265568,"# per 1,000 pop",1125,313
Alabama,Walker,0.150202022,"# per 1,000 pop",1127,317
Alabama,Washington,0.172860847,"# per 1,000 pop",1129,319
Alabama,Wilcox,0.786713287,"# per 1,000 pop",1131,326
Alabama,Winston,0.36954915,"# per 1,000 pop",1133,332
Alaska,Aleutians East,1.22624157,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.536960802,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.108001931,"# per 1,000 pop",2020,400
Alaska,Bethel,1.320624713,"# per 1,000 pop",2050,411
Alaska,Bristol Bay,2.912621359,"# per 1,000 pop",2060,423
Alaska,Denali,0.0,"# per 1,000 pop",2068,426
Alaska,Dillingham,1.212611156,"# per 1,000 pop",2070,445
Alaska,Fairbanks North Star,0.081519524,"# per 1,000 pop",2090,454
