State,County,SNAP-authorized stores 2012 (SNAPS12),Units,FIPS,FID
Alabama,Autauga,37.416666666666664,Count,1001,5
Alabama,Baldwin,138.33333333333334,Count,1003,20
Alabama,Barbour,34.833333333333336,Count,1005,25
Alabama,Bibb,16.25,Count,1007,29
Alabama,Blount,38.0,Count,1009,33
Alabama,Bullock,14.333333333333334,Count,1011,37
Alabama,Butler,27.25,Count,1013,39
Alabama,Calhoun,137.91666666666666,Count,1015,43
Alabama,Chambers,34.25,Count,1017,47
Alabama,Cherokee,30.999999999999996,Count,1019,51
Alabama,Chilton,46.75,Count,1021,56
Alabama,Choctaw,16.333333333333336,Count,1023,58
Alabama,Clarke,40.166666666666664,Count,1025,61
Alabama,Clay,10.166666666666668,Count,1027,65
Alabama,Cleburne,16.666666666666664,Count,1029,67
Alabama,Coffee,37.5,Count,1031,70
Alabama,Colbert,55.75,Count,1033,73
Alabama,Conecuh,22.75,Count,1035,80
Alabama,Coosa,5.0,Count,1037,82
Alabama,Covington,48.75,Count,1039,88
Alabama,Crenshaw,20.25,Count,1041,90
Alabama,Cullman,77.5,Count,1043,98
Alabama,Dale,36.58333333333332,Count,1045,101
Alabama,Dallas,55.58333333333333,Count,1047,110
Alabama,DeKalb,83.83333333333334,Count,1049,112
Alabama,Elmore,65.74999999999997,Count,1051,118
Alabama,Escambia,42.25,Count,1053,122
Alabama,Etowah,101.00000000000003,Count,1055,131
Alabama,Fayette,12.666666666666666,Count,1057,134
Alabama,Franklin,30.749999999999993,Count,1059,138
Alabama,Geneva,23.16666666666667,Count,1061,140
Alabama,Greene,15.166666666666666,Count,1063,148
Alabama,Hale,15.083333333333332,Count,1065,150
Alabama,Henry,17.583333333333332,Count,1067,158
Alabama,Houston,120.99999999999997,Count,1069,160
Alabama,Jackson,55.083333333333336,Count,1071,164
Alabama,Jefferson,551.5833333333333,Count,1073,171
Alabama,Lamar,12.333333333333332,Count,1075,174
Alabama,Lauderdale,80.66666666666667,Count,1077,176
Alabama,Lawrence,27.166666666666664,Count,1079,181
