State,County,WIC redemptions per capita (% change) 2011-16 (PCH_PC_WIC_REDEMP_11_16),Units,FIPS,FID
Alabama,Autauga,-6.358115196228027,% change,1001,5
Alabama,Baldwin,-18.90199851989746,% change,1003,20
Alabama,Barbour,9.566095352172852,% change,1005,25
Alabama,Bibb,2.787677764892578,% change,1007,29
Alabama,Blount,-18.995101928710938,% change,1009,33
Alabama,Bullock,nan,% change,1011,37
Alabama,Butler,-10.40796184539795,% change,1013,39
Alabama,Calhoun,-5.454349517822266,% change,1015,43
Alabama,Chambers,16.745088577270508,% change,1017,47
Alabama,Cherokee,-25.87856101989746,% change,1019,51
Alabama,Chilton,-17.05588722229004,% change,1021,56
Alabama,Choctaw,nan,% change,1023,58
Alabama,Clarke,10.888050079345703,% change,1025,61
Alabama,Clay,nan,% change,1027,65
Alabama,Cleburne,-29.49102020263672,% change,1029,67
Alabama,Coffee,-5.215829372406006,% change,1031,70
Alabama,Colbert,-18.7951717376709,% change,1033,73
Alabama,Conecuh,nan,% change,1035,80
Alabama,Coosa,nan,% change,1037,82
Alabama,Covington,-11.152459144592285,% change,1039,88
Alabama,Crenshaw,nan,% change,1041,90
Alabama,Cullman,-18.905590057373047,% change,1043,98
Alabama,Dale,-12.810803413391113,% change,1045,101
Alabama,Dallas,-18.97315788269043,% change,1047,110
Alabama,DeKalb,-19.07158851623535,% change,1049,112
Alabama,Elmore,-12.591854095458984,% change,1051,118
Alabama,Escambia,-14.391042709350586,% change,1053,122
Alabama,Etowah,-9.0123291015625,% change,1055,131
Alabama,Fayette,-15.534723281860352,% change,1057,134
Alabama,Franklin,-14.820191383361816,% change,1059,138
Alabama,Geneva,-16.522415161132812,% change,1061,140
Alabama,Greene,nan,% change,1063,148
Alabama,Hale,nan,% change,1065,150
Alabama,Henry,nan,% change,1067,158
Alabama,Houston,-13.943815231323242,% change,1069,160
Alabama,Jackson,-22.320051193237305,% change,1071,164
Alabama,Jefferson,-36.20744323730469,% change,1073,171
Alabama,Lamar,-22.348026275634766,% change,1075,174
Alabama,Lauderdale,-16.807649612426758,% change,1077,176
Alabama,Lawrence,-24.178264617919922,% change,1079,181
Alabama,Lee,-9.963711738586426,% change,1081,187
Alabama,Limestone,-23.816911697387695,% change,1083,197
Alabama,Lowndes,nan,% change,1085,205
Alabama,Macon,-16.3186092376709,% change,1087,210
Alabama,Madison,-14.292203903198242,% change,1089,217
Alabama,Marengo,-7.166154384613037,% change,1091,220
Alabama,Marion,-12.978288650512695,% change,1093,224
Alabama,Marshall,-15.05942153930664,% change,1095,231
Alabama,Mobile,-10.0979642868042,% change,1097,240
Alabama,Monroe,-25.552875518798828,% change,1099,250
Alabama,Montgomery,-9.774819374084473,% change,1101,256
Alabama,Morgan,-17.038986206054688,% change,1103,262
Alabama,Perry,nan,% change,1105,264
Alabama,Pickens,-23.917098999023438,% change,1107,273
Alabama,Pike,-22.54795265197754,% change,1109,279
Alabama,Randolph,-15.752880096435547,% change,1111,284
Alabama,Russell,16.167930603027344,% change,1113,288
Alabama,St. Clair,-20.30672264099121,% change,1115,292
Alabama,Shelby,-22.86798667907715,% change,1117,298
Alabama,Sumter,-9.375590324401855,% change,1119,303
Alabama,Talladega,-5.7595367431640625,% change,1121,306
Alabama,Tallapoosa,-9.392282485961914,% change,1123,308
Alabama,Tuscaloosa,-2.501417398452759,% change,1125,313
Alabama,Walker,-12.048293113708496,% change,1127,317
Alabama,Washington,nan,% change,1129,319
Alabama,Wilcox,-26.590913772583008,% change,1131,326
Alabama,Winston,-13.51417350769043,% change,1133,332
Alaska,Aleutians East,nan,% change,2013,346
Alaska,Aleutians West,nan,% change,2016,381
Alaska,Anchorage,-42.57566833496094,% change,2020,400
Alaska,Bethel,-19.41396141052246,% change,2050,411
Alaska,Bristol Bay,nan,% change,2060,423
Alaska,Denali,nan,% change,2068,426
Alaska,Dillingham,nan,% change,2070,445
Alaska,Fairbanks North Star,-31.297706604003906,% change,2090,454
Alaska,Haines,nan,% change,2100,462
Alaska,Hoonah-Angoon,nan,% change,2105,476
Alaska,Juneau,-38.739280700683594,% change,2110,482
Alaska,Kenai Peninsula,-31.97290802001953,% change,2122,494
Alaska,Ketchikan Gateway,nan,% change,2130,514
Alaska,Kodiak Island,nan,% change,2150,533
Alaska,Lake and Peninsula,nan,% change,2164,544
Alaska,Matanuska-Susitna,-35.620418548583984,% change,2170,556
Alaska,Nome,-16.093381881713867,% change,2180,571
Alaska,North Slope,-15.365241050720215,% change,2185,614
Alaska,Northwest Arctic,3.140185594558716,% change,2188,638
Alaska,Petersburg,nan,% change,2195,645
Alaska,Prince of Wales-Hyder,-29.77414321899414,% change,2198,669
Alaska,Sitka,nan,% change,2220,679
Alaska,Skagway,nan,% change,2230,683
Alaska,Southeast Fairbanks,nan,% change,2240,690
Alaska,Valdez-Cordova,-55.447731018066406,% change,2261,710
Alaska,Wade Hampton,nan,% change,2270,725
Alaska,Wrangell,nan,% change,2275,733
Alaska,Yakutat,nan,% change,2282,744
Alaska,Yukon-Koyukuk,-19.368759155273438,% change,2290,753
Arizona,Apache,-14.920061111450195,% change,4001,761
Arizona,Cochise,12.868612289428711,% change,4003,763
Arizona,Coconino,-22.530851364135742,% change,4005,771
Arizona,Gila,-57.388484954833984,% change,4007,787
Arizona,Graham,63.48622131347656,% change,4009,0
Arizona,Greenlee,nan,% change,4011,1
Arizona,La Paz,-84.2335433959961,% change,4012,3
Arizona,Maricopa,-6.859366416931152,% change,4013,9
Arizona,Mohave,-38.87057876586914,% change,4015,15
Arizona,Navajo,-21.262231826782227,% change,4017,17
Arizona,Pima,-11.774944305419922,% change,4019,21
Arizona,Pinal,-17.15481185913086,% change,4021,26
Arizona,Santa Cruz,12.830585479736328,% change,4023,32
Arizona,Yavapai,5.964994430541992,% change,4025,35
Arizona,Yuma,7.545146465301514,% change,4027,42
Arkansas,Arkansas,-6.967443943023682,% change,5001,46
Arkansas,Ashley,-25.696670532226562,% change,5003,50
Arkansas,Baxter,-10.993792533874512,% change,5005,54
Arkansas,Benton,-34.6878547668457,% change,5007,59
Arkansas,Boone,-13.379439353942871,% change,5009,62
Arkansas,Bradley,nan,% change,5011,68
Arkansas,Calhoun,nan,% change,5013,72
Arkansas,Carroll,-11.677400588989258,% change,5015,74
Arkansas,Chicot,nan,% change,5017,77
Arkansas,Clark,nan,% change,5019,86
Arkansas,Clay,nan,% change,5021,93
Arkansas,Cleburne,nan,% change,5023,97
Arkansas,Cleveland,nan,% change,5025,103
Arkansas,Columbia,-4.918571472167969,% change,5027,107
Arkansas,Conway,nan,% change,5029,109
Arkansas,Craighead,-21.659332275390625,% change,5031,114
Arkansas,Crawford,-17.644466400146484,% change,5033,115
Arkansas,Crittenden,-16.33637046813965,% change,5035,119
Arkansas,Cross,0.29625704884529114,% change,5037,124
Arkansas,Dallas,nan,% change,5039,128
Arkansas,Desha,nan,% change,5041,130
Arkansas,Drew,nan,% change,5043,136
Arkansas,Faulkner,-11.838824272155762,% change,5045,141
Arkansas,Franklin,nan,% change,5047,144
Arkansas,Fulton,nan,% change,5049,146
Arkansas,Garland,-18.200895309448242,% change,5051,151
Arkansas,Grant,nan,% change,5053,155
Arkansas,Greene,-19.60511589050293,% change,5055,162
Arkansas,Hempstead,-10.59024715423584,% change,5057,172
Arkansas,Hot Spring,-30.882688522338867,% change,5059,184
Arkansas,Howard,nan,% change,5061,191
Arkansas,Independence,-22.406095504760742,% change,5063,200
Arkansas,Izard,-13.130913734436035,% change,5065,203
Arkansas,Jackson,nan,% change,5067,209
Arkansas,Jefferson,-11.70415210723877,% change,5069,213
Arkansas,Johnson,nan,% change,5071,218
Arkansas,Lafayette,nan,% change,5073,222
Arkansas,Lawrence,-20.57041358947754,% change,5075,230
Arkansas,Lee,nan,% change,5077,237
Arkansas,Lincoln,nan,% change,5079,244
Arkansas,Little River,nan,% change,5081,251
Arkansas,Logan,nan,% change,5083,258
Arkansas,Lonoke,-24.78093910217285,% change,5085,268
Arkansas,Madison,nan,% change,5087,277
Arkansas,Marion,-5.987697124481201,% change,5089,282
Arkansas,Miller,-22.52809715270996,% change,5091,287
Arkansas,Mississippi,-18.541770935058594,% change,5093,294
Arkansas,Monroe,nan,% change,5095,300
Arkansas,Montgomery,nan,% change,5097,304
Arkansas,Nevada,nan,% change,5099,307
Arkansas,Newton,nan,% change,5101,311
Arkansas,Ouachita,-20.12701988220215,% change,5103,316
Arkansas,Perry,nan,% change,5105,318
Arkansas,Phillips,nan,% change,5107,322
Arkansas,Pike,nan,% change,5109,327
Arkansas,Poinsett,-12.850886344909668,% change,5111,333
Arkansas,Polk,nan,% change,5113,337
Arkansas,Pope,-24.115121841430664,% change,5115,340
Arkansas,Prairie,nan,% change,5117,345
Arkansas,Pulaski,-15.118112564086914,% change,5119,350
Arkansas,Randolph,nan,% change,5121,353
Arkansas,St. Francis,-23.881946563720703,% change,5123,357
Arkansas,Saline,-29.651412963867188,% change,5125,360
Arkansas,Scott,nan,% change,5127,364
Arkansas,Searcy,nan,% change,5129,372
Arkansas,Sebastian,-17.650535583496094,% change,5131,378
Arkansas,Sevier,nan,% change,5133,390
Arkansas,Sharp,-12.275771141052246,% change,5135,394
Arkansas,Stone,nan,% change,5137,399
Arkansas,Union,-3.4032983779907227,% change,5139,403
Arkansas,Van Buren,-32.61625671386719,% change,5141,407
Arkansas,Washington,-21.990598678588867,% change,5143,417
Arkansas,White,-5.3753662109375,% change,5145,428
Arkansas,Woodruff,nan,% change,5147,435
Arkansas,Yell,nan,% change,5149,438
California,Alameda,-18.02672004699707,% change,6001,457
California,Alpine,nan,% change,6003,461
California,Amador,13.802919387817383,% change,6005,472
California,Butte,-18.906755447387695,% change,6007,486
California,Calaveras,-20.20836067199707,% change,6009,489
California,Colusa,-19.446670532226562,% change,6011,497
California,Contra Costa,-23.28202247619629,% change,6013,503
California,Del Norte,nan,% change,6015,511
California,El Dorado,-29.60325050354004,% change,6017,522
California,Fresno,-10.85349178314209,% change,6019,527
California,Glenn,-23.364593505859375,% change,6021,537
California,Humboldt,-18.33604621887207,% change,6023,551
California,Imperial,1.5997154712677002,% change,6025,557
California,Inyo,nan,% change,6027,562
California,Kern,-8.35702896118164,% change,6029,84
California,Kings,0.5293070077896118,% change,6031,94
