State,County,Full-service restaurants per 1000 pop 2016 (FSRPTH16),Units,FIPS,FID
Alabama,Marengo,0.615226865,Count,1091,220
Alabama,Marion,0.701824744,Count,1093,224
Alabama,Marshall,0.652336311,Count,1095,231
Alabama,Mobile,0.525488608,Count,1097,240
Alabama,Monroe,0.417207491,Count,1099,250
Alabama,Montgomery,0.639566683,Count,1101,256
Alabama,Morgan,0.538634393,Count,1103,262
Alabama,Perry,0.626959248,Count,1105,264
Alabama,Pickens,0.246123554,Count,1107,273
Alabama,Pike,0.692458227,Count,1109,279
Alabama,Randolph,0.311138768,Count,1111,284
Alabama,Russell,0.39534524,Count,1113,288
Alabama,St. Clair,0.480098763,Count,1115,292
Alabama,Shelby,0.568523686,Count,1117,298
Alabama,Sumter,0.463965357,Count,1119,303
Alabama,Talladega,0.547358993,Count,1121,306
Alabama,Tallapoosa,0.468280179,Count,1123,308
Alabama,Tuscaloosa,0.591423391,Count,1125,313
Alabama,Walker,0.604079862,Count,1127,317
Alabama,Washington,0.300372462,Count,1129,319
Alabama,Wilcox,0.183908046,Count,1131,326
Alabama,Winston,0.71168418,Count,1133,332
Alaska,Aleutians East,0.300842359,Count,2013,346
Alaska,Aleutians West,0.696015312,Count,2016,381
Alaska,Anchorage,0.8305983,Count,2020,400
Alaska,Bethel,0.333704116,Count,2050,411
Alaska,Bristol Bay,2.209944751,Count,2060,423
Alaska,Denali,2.93398533,Count,2068,426
Alaska,Dillingham,0.40192926,Count,2070,445
Alaska,Fairbanks North Star,0.685871056,Count,2090,454
Alaska,Haines,1.975503753,Count,2100,462
Alaska,Hoonah-Angoon,0.0,Count,2105,476
Alaska,Juneau,0.956642493,Count,2110,482
Alaska,Kenai Peninsula,1.178620843,Count,2122,494
Alaska,Ketchikan Gateway,0.947038683,Count,2130,514
Alaska,Kodiak Island,0.80415235,Count,2150,533
Alaska,Lake and Peninsula,0.0,Count,2164,544
Alaska,Matanuska-Susitna,0.518617404,Count,2170,556
Alaska,Nome,1.008572869,Count,2180,571
Alaska,North Slope,0.413009809,Count,2185,614
Alaska,Northwest Arctic,0.130514226,Count,2188,638
Alaska,Petersburg,0.0,Count,2195,645
Alaska,Prince of Wales-Hyder,0.0,Count,2198,669
Alaska,Sitka,0.798357664,Count,2220,679
Alaska,Skagway,0.0,Count,2230,683
Alaska,Southeast Fairbanks,0.877192982,Count,2240,690
Alaska,Valdez-Cordova,1.498929336,Count,2261,710
Alaska,Wade Hampton,0.0,Count,2270,725
Alaska,Wrangell,0.0,Count,2275,733
Alaska,Yakutat,0.0,Count,2282,744
Alaska,Yukon-Koyukuk,0.36954915,Count,2290,753
Arizona,Apache,0.238185308,Count,4001,761
Arizona,Cochise,0.678074269,Count,4003,763
Arizona,Coconino,1.206462068,Count,4005,771
Arizona,Gila,0.994427454,Count,4007,787
Arizona,Graham,0.423650277,Count,4009,0
Arizona,Greenlee,0.72742388,Count,4011,1
Arizona,La Paz,1.413048775,Count,4012,3
Arizona,Maricopa,0.589363164,Count,4013,9
Arizona,Mohave,0.613481997,Count,4015,15
Arizona,Navajo,0.692380126,Count,4017,17
Arizona,Pima,0.627148725,Count,4019,21
Arizona,Pinal,0.279440637,Count,4021,26
Arizona,Santa Cruz,0.846446012,Count,4023,32
Arizona,Yavapai,0.953811457,Count,4025,35
Arizona,Yuma,0.394231565,Count,4027,42
Arkansas,Arkansas,0.713697502,Count,5001,46
Arkansas,Ashley,0.341496731,Count,5003,50
Arkansas,Baxter,0.80204156,Count,5005,54
Arkansas,Benton,0.653256231,Count,5007,59
Arkansas,Boone,0.779758544,Count,5009,62
Arkansas,Bradley,0.637580836,Count,5011,68
Arkansas,Calhoun,0.387446726,Count,5013,72
Arkansas,Carroll,1.803231391,Count,5015,74
Arkansas,Chicot,0.183284457,Count,5017,77
Arkansas,Clark,0.44345898,Count,5019,86
Arkansas,Clay,0.730557216,Count,5021,93
Arkansas,Cleburne,0.874438571,Count,5023,97
Arkansas,Cleveland,0.0,Count,5025,103
Arkansas,Columbia,0.29187341,Count,5027,107
Arkansas,Conway,0.478583393,Count,5029,109
Arkansas,Craighead,0.727919002,Count,5031,114
Arkansas,Crawford,0.546105784,Count,5033,115
Arkansas,Crittenden,0.446066504,Count,5035,119
Arkansas,Cross,0.469566238,Count,5037,124
Arkansas,Dallas,0.67294751,Count,5039,128
Arkansas,Desha,0.838926174,Count,5041,130
Arkansas,Drew,0.536826283,Count,5043,136
Arkansas,Faulkner,0.614336148,Count,5045,141
Arkansas,Franklin,0.56589893,Count,5047,144
Arkansas,Fulton,0.332253509,Count,5049,146
Arkansas,Garland,1.221610286,Count,5051,151
Arkansas,Grant,0.442135515,Count,5053,155
Arkansas,Greene,0.58146036,Count,5055,162
Arkansas,Hempstead,0.590211568,Count,5057,172
Arkansas,Hot Spring,0.298989416,Count,5059,184
Arkansas,Howard,0.446495014,Count,5061,191
Arkansas,Independence,0.620046369,Count,5063,200
Arkansas,Izard,0.66716086,Count,5065,203
Arkansas,Jackson,0.462187301,Count,5067,209
Arkansas,Jefferson,0.469136505,Count,5069,213
Arkansas,Johnson,0.4957102,Count,5071,218
Arkansas,Lafayette,0.288683603,Count,5073,222
Arkansas,Lawrence,0.600997656,Count,5075,230
Arkansas,Lee,0.106837607,Count,5077,237
Arkansas,Lincoln,0.506879073,Count,5079,244
Arkansas,Little River,0.321802092,Count,5081,251
Arkansas,Logan,0.598719661,Count,5083,258
Arkansas,Lonoke,0.543500982,Count,5085,268
Arkansas,Madison,0.683017696,Count,5087,277
Arkansas,Marion,0.672001955,Count,5089,282
Arkansas,Miller,0.569813557,Count,5091,287
Arkansas,Mississippi,0.676227119,Count,5093,294
Arkansas,Monroe,0.691085003,Count,5095,300
Arkansas,Montgomery,0.335232987,Count,5097,304
Arkansas,Nevada,0.477668975,Count,5099,307
Arkansas,Newton,0.762485703,Count,5101,311
Arkansas,Ouachita,0.541238186,Count,5103,316
Arkansas,Perry,0.584055291,Count,5105,318
Arkansas,Phillips,0.31496063,Count,5107,322
Arkansas,Pike,0.647129518,Count,5109,327
Arkansas,Poinsett,0.624791736,Count,5111,333
Arkansas,Polk,0.744749516,Count,5113,337
Arkansas,Pope,0.579465013,Count,5115,340
Arkansas,Prairie,0.725426188,Count,5117,345
Arkansas,Pulaski,0.904294637,Count,5119,350
Arkansas,Randolph,0.459558824,Count,5121,353
Arkansas,St. Francis,0.532238443,Count,5123,357
Arkansas,Saline,0.382727914,Count,5125,360
Arkansas,Scott,0.482625483,Count,5127,364
Arkansas,Searcy,0.502197112,Count,5129,372
Arkansas,Sebastian,0.760384739,Count,5131,378
Arkansas,Sevier,0.530816868,Count,5133,390
Arkansas,Sharp,1.050297584,Count,5135,394
Arkansas,Stone,0.56,Count,5137,399
Arkansas,Union,0.677251862,Count,5139,403
Arkansas,Van Buren,0.541451089,Count,5141,407
Arkansas,Washington,0.86115993,Count,5143,417
Arkansas,White,0.520053781,Count,5145,428
Arkansas,Woodruff,0.301977956,Count,5147,435
Arkansas,Yell,0.279251606,Count,5149,438
California,Alameda,0.943603938,Count,6001,457
California,Alpine,0.946073794,Count,6003,461
California,Amador,1.174178742,Count,6005,472
California,Butte,0.582717139,Count,6007,486
California,Calaveras,0.904777667,Count,6009,489
California,Colusa,0.508200508,Count,6011,497
California,Contra Costa,0.664825297,Count,6013,503
California,Del Norte,0.87431694,Count,6015,511
California,El Dorado,1.084435664,Count,6017,522
California,Fresno,0.529843783,Count,6019,527
California,Glenn,0.64361569,Count,6021,537
California,Humboldt,1.040681866,Count,6023,551
California,Imperial,0.38678307,Count,6025,557
California,Inyo,1.497172008,Count,6027,562
California,Kern,0.500516334,Count,6029,84
California,Kings,0.30040655,Count,6031,94
California,Lake,0.719311962,Count,6033,100
California,Lassen,0.355480869,Count,6035,104
California,Los Angeles,0.799266405,Count,6037,139
California,Madera,0.335557477,Count,6039,153
California,Marin,1.196794274,Count,6041,168
California,Mariposa,0.741839763,Count,6043,178
California,Mendocino,1.266993117,Count,6045,190
California,Merced,0.338443458,Count,6047,204
California,Modoc,0.894754502,Count,6049,207
California,Mono,2.411176512,Count,6051,214
California,Monterey,0.870834603,Count,6053,228
California,Napa,1.058955587,Count,6055,236
California,Nevada,0.969178117,Count,6057,243
California,Orange,0.878307381,Count,6059,257
California,Placer,0.863744332,Count,6061,266
California,Plumas,2.129131846,Count,6063,275
California,Riverside,0.507432992,Count,6065,281
California,Sacramento,0.648269299,Count,6067,289
California,San Benito,0.60672453,Count,6069,295
California,San Bernardino,0.515176655,Count,6071,302
California,San Diego,0.781683347,Count,6073,315
California,San Francisco,2.188098888,Count,6075,331
California,San Joaquin,0.532484264,Count,6077,339
California,San Luis Obispo,1.20446929,Count,6079,351
California,San Mateo,1.0759381,Count,6081,368
California,Santa Barbara,0.914191478,Count,6083,391
California,Santa Clara,0.886323337,Count,6085,406
California,Santa Cruz,1.010189102,Count,6087,415
California,Shasta,0.660051238,Count,6089,431
California,Sierra,1.349527665,Count,6091,439
California,Siskiyou,1.034221231,Count,6093,446
California,Solano,0.601837763,Count,6095,453
California,Sonoma,1.038042367,Count,6097,463
California,Stanislaus,0.541236494,Count,6099,473
California,Sutter,0.562160361,Count,6101,483
California,Tehama,0.630477271,Count,6103,492
California,Trinity,1.012539917,Count,6105,500
California,Tulare,0.460034503,Count,6107,501
California,Tuolumne,1.041143771,Count,6109,513
California,Ventura,0.699098574,Count,6111,521
California,Yolo,0.666793234,Count,6113,525
California,Yuba,0.359114185,Count,6115,541
Colorado,Adams,0.466430101,Count,8001,545
Colorado,Alamosa,0.850753525,Count,8003,549
Colorado,Arapahoe,0.739462657,Count,8005,558
Colorado,Archuleta,1.869741352,Count,8007,560
Colorado,Baca,1.127395716,Count,8009,563
Colorado,Bent,0.352050695,Count,8011,564
Colorado,Boulder,1.052392324,Count,8013,570
Colorado,Broomfield,0.721706837,Count,8014,577
Colorado,Chaffee,1.991405513,Count,8015,582
Colorado,Cheyenne,0.54525627,Count,8017,587
Colorado,Clear Creek,2.136523876,Count,8019,591
Colorado,Conejos,0.495540139,Count,8021,596
Colorado,Costilla,1.079622132,Count,8023,599
Colorado,Crowley,0.190331176,Count,8025,605
Colorado,Custer,1.304064334,Count,8027,610
Colorado,Delta,1.054504712,Count,8029,617
Colorado,Denver,1.275229318,Count,8031,628
Colorado,Dolores,1.454898157,Count,8033,636
Colorado,Douglas,0.582811041,Count,8035,644
Colorado,Eagle,2.354499301,Count,8037,648
Colorado,Elbert,0.439279581,Count,8039,655
Colorado,El Paso,0.589772042,Count,8041,661
Colorado,Fremont,0.660896261,Count,8043,664
Colorado,Garfield,1.442976946,Count,8045,667
Colorado,Gilpin,0.33869602,Count,8047,672
Colorado,Grand,3.569303986,Count,8049,677
Colorado,Gunnison,2.789400279,Count,8051,682
Colorado,Hinsdale,7.623888183,Count,8053,688
Colorado,Huerfano,1.671224552,Count,8055,693
Colorado,Jackson,1.470588235,Count,8057,701
Colorado,Jefferson,0.802327802,Count,8059,706
Colorado,Kiowa,0.741839763,Count,8061,711
Colorado,Kit Carson,0.786575773,Count,8063,716
Colorado,Lake,1.314751512,Count,8065,721
Colorado,La Plata,1.249637786,Count,8067,727
Colorado,Larimer,0.880273889,Count,8069,734
Colorado,Las Animas,0.922836658,Count,8071,741
Colorado,Lincoln,1.078748652,Count,8073,747
Colorado,Logan,0.820980616,Count,8075,749
Colorado,Mesa,0.687610986,Count,8077,751
Colorado,Mineral,7.947019868,Count,8079,757
Colorado,Moffat,1.063748955,Count,8081,758
Colorado,Montezuma,1.46294514,Count,8083,766
Colorado,Montrose,0.898931001,Count,8085,769
Colorado,Morgan,0.748316288,Count,8087,775
Colorado,Otero,1.041723779,Count,8089,777
Colorado,Ouray,3.971571906,Count,8091,780
Colorado,Park,0.806916427,Count,8093,782
Colorado,Phillips,1.401541696,Count,8095,785
Colorado,Pitkin,4.191349056,Count,8097,789
Colorado,Prowers,0.500458754,Count,8099,792
Colorado,Pueblo,0.806872369,Count,8101,795
Colorado,Rio Blanco,0.925497455,Count,8103,799
Colorado,Rio Grande,0.970188746,Count,8105,802
Colorado,Routt,3.160581871,Count,8107,809
Colorado,Saguache,0.93647573,Count,8109,811
Colorado,San Juan,11.611030479,Count,8111,347
Colorado,San Miguel,3.013561025,Count,8113,359
Colorado,Sedgwick,1.247401247,Count,8115,366
Colorado,Summit,3.956217856,Count,8117,373
Colorado,Teller,0.623960067,Count,8119,375
Colorado,Washington,0.619067272,Count,8121,377
Colorado,Weld,0.543768246,Count,8123,382
Colorado,Yuma,1.284838901,Count,8125,385
Connecticut,Fairfield,0.997691719,Count,9001,410
Connecticut,Hartford,0.908992437,Count,9003,432
Connecticut,Litchfield,1.103240359,Count,9005,443
Connecticut,Middlesex,1.125843618,Count,9007,450
Connecticut,New Haven,0.890725639,Count,9009,466
Connecticut,New London,0.995146803,Count,9011,517
Connecticut,Tolland,0.641767839,Count,9013,524
Connecticut,Windham,0.723875838,Count,9015,529
Delaware,Kent,0.503565011,Count,10001,532
Delaware,New Castle,0.756474399,Count,10003,536
Delaware,Sussex,1.313081288,Count,10005,609
District of Columbia,District of Columbia,1.287379299,Count,11001,630
Florida,Alachua,0.798211401,Count,12001,639
Florida,Baker,0.429876411,Count,12003,641
Florida,Bay,1.060155635,Count,12005,658
Florida,Bradford,0.448967375,Count,12007,665
Florida,Brevard,0.877315932,Count,12009,686
Florida,Broward,0.803287428,Count,12011,695
Florida,Calhoun,0.487431237,Count,12013,699
Florida,Charlotte,0.763371633,Count,12015,743
Florida,Citrus,0.650395133,Count,12017,843
Florida,Clay,0.506658946,Count,12019,852
Florida,Collier,1.171826985,Count,12021,894
Florida,Columbia,0.577417213,Count,12023,903
Florida,DeSoto,0.334029228,Count,12027,906
Florida,Dixie,0.364143958,Count,12029,918
Florida,Duval,0.772900969,Count,12031,924
Florida,Escambia,0.651244262,Count,12033,931
Florida,Flagler,0.723528593,Count,12035,935
Florida,Franklin,1.779811848,Count,12037,937
Florida,Gadsden,0.30332575,Count,12039,938
Florida,Gilchrist,0.23242301,Count,12041,939
Florida,Glades,0.222882615,Count,12043,940
Florida,Gulf,0.683229814,Count,12045,941
Florida,Hamilton,0.069812901,Count,12047,942
Florida,Hardee,0.365350188,Count,12049,943
Florida,Hendry,0.479313824,Count,12051,944
Florida,Hernando,0.647529784,Count,12053,945
Florida,Highlands,0.512022687,Count,12055,946
Florida,Hillsborough,0.642720503,Count,12057,947
Florida,Holmes,0.566805792,Count,12059,948
Florida,Indian River,0.805908232,Count,12061,949
Florida,Jackson,0.621220906,Count,12063,950
Florida,Jefferson,0.071772052,Count,12065,951
Florida,Lafayette,0.231107003,Count,12067,952
Florida,Lake,0.724441092,Count,12069,953
Florida,Lee,0.891342079,Count,12071,954
Florida,Leon,0.790736883,Count,12073,955
Florida,Levy,0.62733683,Count,12075,956
Florida,Liberty,0.480827022,Count,12077,957
Florida,Madison,0.273134491,Count,12079,958
Florida,Manatee,0.78016205,Count,12081,959
Florida,Marion,0.54001419,Count,12083,960
Florida,Martin,1.148380909,Count,12085,961
Florida,Miami-Dade,0.796990948,Count,12086,962
Florida,Monroe,2.832971127,Count,12087,963
Florida,Nassau,0.800780761,Count,12089,964
Florida,Okaloosa,1.040442188,Count,12091,965
Florida,Okeechobee,0.63886773,Count,12093,966
Florida,Orange,0.877154544,Count,12095,967
Florida,Osceola,0.680493506,Count,12097,968
Florida,Palm Beach,0.858458846,Count,12099,969
Florida,Pasco,0.507285124,Count,12101,970
Florida,Pinellas,0.94168418,Count,12103,971
Florida,Polk,0.446764555,Count,12105,972
Florida,Putnam,0.428153141,Count,12107,973
Florida,St. Johns,0.999804294,Count,12109,974
Florida,St. Lucie,0.578282078,Count,12111,975
Florida,Santa Rosa,0.39985182,Count,12113,976
Florida,Sarasota,1.150458125,Count,12115,977
Florida,Seminole,0.723186227,Count,12117,978
Florida,Sumter,0.573201988,Count,12119,979
Florida,Suwannee,0.365005133,Count,12121,980
Florida,Taylor,0.497332489,Count,12123,981
Florida,Union,0.065500753,Count,12125,982
Florida,Volusia,0.903526779,Count,12127,983
Florida,Wakulla,0.627254195,Count,12129,984
Florida,Walton,1.726772616,Count,12131,985
Florida,Washington,0.531697342,Count,12133,986
Georgia,Appling,0.540979172,Count,13001,987
Georgia,Atkinson,0.0,Count,13003,988
Georgia,Bacon,0.351957765,Count,13005,989
Georgia,Baker,0.0,Count,13007,990
Georgia,Baldwin,0.619606108,Count,13009,991
Georgia,Banks,0.710033317,Count,13011,992
Georgia,Barrow,0.363207119,Count,13013,993
Georgia,Bartow,0.647774845,Count,13015,994
Georgia,Ben Hill,0.698080279,Count,13017,995
Georgia,Berrien,0.368149784,Count,13019,996
Georgia,Bibb,0.796318658,Count,13021,997
Georgia,Bleckley,0.310125601,Count,13023,998
Georgia,Brantley,0.163443203,Count,13025,999
Georgia,Brooks,0.318613395,Count,13027,565
Georgia,Bryan,0.725405948,Count,13029,573
Georgia,Bulloch,0.709305282,Count,13031,579
Georgia,Burke,0.398089172,Count,13033,583
Georgia,Butts,0.506115563,Count,13035,588
Georgia,Calhoun,0.625684342,Count,13037,592
Georgia,Camden,0.705891331,Count,13039,603
Georgia,Candler,0.641319285,Count,13043,616
Georgia,Carroll,0.799717949,Count,13045,620
Georgia,Catoosa,0.497985423,Count,13047,626
Georgia,Charlton,0.470551329,Count,13049,635
Georgia,Chatham,1.199073914,Count,13051,646
Georgia,Chattahoochee,0.099009901,Count,13053,656
Georgia,Chattooga,0.322151975,Count,13055,659
Georgia,Cherokee,0.600165563,Count,13057,662
Georgia,Clarke,1.031851413,Count,13059,666
Georgia,Clay,0.0,Count,13061,670
Georgia,Clayton,0.310707628,Count,13063,673
Georgia,Clinch,0.294594196,Count,13065,676
Georgia,Cobb,0.750189546,Count,13067,680
Georgia,Coffee,0.395210973,Count,13069,684
Georgia,Colquitt,0.416018918,Count,13071,689
Georgia,Columbia,0.562898861,Count,13073,692
Georgia,Cook,0.349101065,Count,13075,697
Georgia,Coweta,0.541033088,Count,13077,700
Georgia,Crawford,0.0,Count,13079,704
Georgia,Crisp,0.654022237,Count,13081,707
Georgia,Dade,0.430981406,Count,13083,708
Georgia,Dawson,0.677592851,Count,13085,713
Georgia,Decatur,0.561482313,Count,13087,714
Georgia,DeKalb,0.770065221,Count,13089,718
Georgia,Dodge,0.191966214,Count,13091,720
Georgia,Dooly,0.072020166,Count,13093,724
Georgia,Dougherty,0.597378174,Count,13095,728
Georgia,Douglas,0.528090916,Count,13097,731
Georgia,Early,0.873956108,Count,13099,735
Georgia,Echols,0.251193168,Count,13101,737
Georgia,Effingham,0.392806517,Count,13103,742
Georgia,Elbert,0.417907329,Count,13105,746
Georgia,Emanuel,0.892697733,Count,13107,750
Georgia,Evans,0.468691414,Count,13109,754
Georgia,Fannin,1.200432156,Count,13111,755
Georgia,Fayette,0.952826118,Count,13113,760
Georgia,Floyd,0.652038915,Count,13115,764
Georgia,Forsyth,0.61344954,Count,13117,768
Georgia,Franklin,0.896619744,Count,13119,772
Georgia,Fulton,1.139372496,Count,13121,779
Georgia,Gilmer,0.76582426,Count,13123,781
Georgia,Glascock,0.668449198,Count,13125,783
Georgia,Glynn,1.17120954,Count,13127,793
Georgia,Gordon,0.438696545,Count,13129,796
Georgia,Grady,0.241031615,Count,13131,797
Georgia,Greene,1.003601157,Count,13133,800
Georgia,Gwinnett,0.799249477,Count,13135,804
Georgia,Habersham,0.611177762,Count,13137,806
Georgia,Hall,0.580930202,Count,13139,808
Georgia,Hancock,0.231026915,Count,13141,810
Georgia,Haralson,0.624284674,Count,13143,813
Georgia,Harris,0.505696523,Count,13145,814
Georgia,Hart,0.430562079,Count,13147,816
Georgia,Heard,0.086400553,Count,13149,817
Georgia,Henry,0.555668496,Count,13151,820
Georgia,Houston,0.579473469,Count,13153,823
Georgia,Irwin,0.213698045,Count,13155,825
Georgia,Jackson,0.461694727,Count,13157,828
Georgia,Jasper,0.289414659,Count,13159,830
Georgia,Jeff Davis,0.267201069,Count,13161,832
Georgia,Jefferson,0.50671396,Count,13163,834
Georgia,Jenkins,0.456100342,Count,13165,835
Georgia,Johnson,0.308324769,Count,13167,837
Georgia,Jones,0.455293664,Count,13169,839
Georgia,Lamar,0.64970222,Count,13171,841
Georgia,Lanier,0.286971494,Count,13173,845
Georgia,Laurens,0.784031192,Count,13175,847
Georgia,Lee,0.30790284,Count,13177,849
Georgia,Liberty,0.439811044,Count,13179,855
Georgia,Lincoln,0.635808749,Count,13181,857
Georgia,Long,0.0537808,Count,13183,860
Georgia,Lowndes,0.804857138,Count,13185,863
Georgia,Lumpkin,0.602638924,Count,13187,865
Georgia,McDuffie,0.745712155,Count,13189,868
Georgia,McIntosh,0.639567936,Count,13191,871
Georgia,Macon,0.073964497,Count,13193,874
Georgia,Madison,0.208138204,Count,13195,875
Georgia,Marion,0.234990013,Count,13197,877
Georgia,Meriwether,0.569476082,Count,13199,879
Georgia,Miller,0.340078218,Count,13201,881
Georgia,Mitchell,0.356967561,Count,13205,883
Georgia,Monroe,0.44644518,Count,13207,885
Georgia,Montgomery,0.333964155,Count,13209,887
Georgia,Morgan,1.103691849,Count,13211,890
Georgia,Murray,0.203169443,Count,13213,892
Georgia,Muscogee,0.718262721,Count,13215,896
Georgia,Newton,0.365922312,Count,13217,899
Georgia,Oconee,0.515380025,Count,13219,901
Georgia,Oglethorpe,0.067980965,Count,13221,905
Georgia,Paulding,0.411909328,Count,13223,908
Georgia,Peach,0.446113238,Count,13225,910
Georgia,Pickens,0.749307705,Count,13227,912
Georgia,Pierce,0.468310958,Count,13229,915
Georgia,Pike,0.223176924,Count,13231,7
Georgia,Polk,0.67098011,Count,13233,8
Georgia,Pulaski,0.619085522,Count,13235,11
Georgia,Putnam,0.742528309,Count,13237,13
Georgia,Quitman,0.0,Count,13239,16
Georgia,Rabun,1.754598258,Count,13241,18
Georgia,Randolph,0.415224913,Count,13243,23
Georgia,Richmond,0.648489169,Count,13245,24
Georgia,Rockdale,0.772027972,Count,13247,28
Georgia,Schley,0.193873594,Count,13249,31
Georgia,Screven,0.356328392,Count,13251,34
Georgia,Seminole,0.710479574,Count,13253,38
Georgia,Spalding,0.604154726,Count,13255,41
Georgia,Stephens,0.466490437,Count,13257,45
Georgia,Stewart,0.170212766,Count,13259,48
Georgia,Sumter,0.560039532,Count,13261,52
Georgia,Talbot,0.0,Count,13263,57
Georgia,Taliaferro,0.61500615,Count,13265,60
Georgia,Tattnall,0.237332384,Count,13267,63
Georgia,Taylor,0.0,Count,13269,69
Georgia,Telfair,0.311837346,Count,13271,75
Georgia,Terrell,0.337533753,Count,13273,78
Georgia,Thomas,0.709691728,Count,13275,83
Georgia,Tift,0.73800738,Count,13277,87
Georgia,Toombs,0.698657842,Count,13279,91
Georgia,Towns,1.233588862,Count,13281,95
Georgia,Treutlen,0.29730935,Count,13283,102
Georgia,Troup,0.64492089,Count,13285,105
Georgia,Turner,0.501756147,Count,13287,108
Georgia,Twiggs,0.121432908,Count,13289,116
Georgia,Union,0.838481906,Count,13291,120
Georgia,Upson,0.610384161,Count,13293,123
Georgia,Walker,0.29271434,Count,13295,126
Georgia,Walton,0.411518057,Count,13297,127
Georgia,Ware,0.559033989,Count,13299,132
Georgia,Warren,0.0,Count,13301,135
Georgia,Washington,0.491569582,Count,13303,143
Georgia,Wayne,0.533600133,Count,13305,147
Georgia,Webster,0.0,Count,13307,149
Georgia,Wheeler,0.124734938,Count,13309,154
Georgia,White,1.110147441,Count,13311,157
Georgia,Whitfield,0.563525569,Count,13313,159
Georgia,Wilcox,0.112777715,Count,13315,163
Georgia,Wilkes,0.407249033,Count,13317,167
Georgia,Wilkinson,0.221043324,Count,13319,169
Georgia,Worth,0.193059511,Count,13321,173
Hawaii,Hawaii,0.790211444,Count,15001,198
Hawaii,Honolulu,0.85216885,Count,15003,234
Hawaii,Kalawao,0.0,Count,15005,247
Hawaii,Kauai,1.39335925,Count,15007,261
Hawaii,Maui,1.112562279,Count,15009,323
Idaho,Ada,0.781058323,Count,16001,336
Idaho,Adams,1.012914662,Count,16003,338
Idaho,Bannock,0.687374821,Count,16005,343
Idaho,Bear Lake,0.841467519,Count,16007,349
Idaho,Benewah,0.665041011,Count,16009,354
Idaho,Bingham,0.441940117,Count,16011,362
Idaho,Blaine,2.621774527,Count,16013,371
Idaho,Boise,1.410835214,Count,16015,380
Idaho,Bonner,1.039132796,Count,16017,387
Idaho,Bonneville,0.687346574,Count,16019,395
Idaho,Boundary,0.686695279,Count,16021,405
Idaho,Butte,1.165954139,Count,16023,414
Idaho,Camas,2.767527675,Count,16025,429
Idaho,Canyon,0.397894946,Count,16027,441
Idaho,Caribou,0.724008109,Count,16029,449
Idaho,Cassia,0.809820135,Count,16031,456
Idaho,Clark,1.170960187,Count,16033,464
Idaho,Clearwater,1.168907072,Count,16035,474
Idaho,Custer,1.703577513,Count,16037,484
Idaho,Elmore,0.651590648,Count,16039,490
Idaho,Franklin,0.449539222,Count,16041,498
Idaho,Fremont,0.77591558,Count,16043,502
Idaho,Gem,0.530066553,Count,16045,510
Idaho,Gooding,0.596263416,Count,16047,519
Idaho,Idaho,1.29405965,Count,16049,528
Idaho,Jefferson,0.287697342,Count,16051,540
Idaho,Jerome,0.644967107,Count,16053,547
Idaho,Kootenai,0.783576242,Count,16055,552
Idaho,Latah,0.644462776,Count,16057,559
Idaho,Lemhi,1.422659079,Count,16059,566
Idaho,Lewis,0.780640125,Count,16061,574
