State,County,WIC redemptions per WIC-authorized stores 2016 (REDEMP_WICS16),Units,FIPS,FID
Alabama,Autauga,161530.296875,Dollars/store,1001,5
Alabama,Baldwin,102920.0859375,Dollars/store,1003,20
Alabama,Barbour,103414.921875,Dollars/store,1005,25
Alabama,Bibb,99703.796875,Dollars/store,1007,29
Alabama,Blount,99651.7578125,Dollars/store,1009,33
Alabama,Bullock,128019.328125,Dollars/store,1011,37
Alabama,Butler,164017.0625,Dollars/store,1013,39
Alabama,Calhoun,120130.625,Dollars/store,1015,43
Alabama,Chambers,74358.65625,Dollars/store,1017,47
Alabama,Cherokee,119297.21875,Dollars/store,1019,51
Alabama,Chilton,128836.7734375,Dollars/store,1021,56
Alabama,Choctaw,88731.125,Dollars/store,1023,58
Alabama,Clarke,101550.5234375,Dollars/store,1025,61
Alabama,Clay,83847.2734375,Dollars/store,1027,65
Alabama,Cleburne,53583.84375,Dollars/store,1029,67
Alabama,Coffee,159640.546875,Dollars/store,1031,70
Alabama,Colbert,113261.484375,Dollars/store,1033,73
Alabama,Conecuh,130550.9921875,Dollars/store,1035,80
Alabama,Coosa,54895.16015625,Dollars/store,1037,82
Alabama,Covington,106574.375,Dollars/store,1039,88
Alabama,Crenshaw,88526.453125,Dollars/store,1041,90
Alabama,Cullman,123863.796875,Dollars/store,1043,98
Alabama,Dale,128246.2734375,Dollars/store,1045,101
Alabama,Dallas,169233.0625,Dollars/store,1047,110
Alabama,DeKalb,139574.234375,Dollars/store,1049,112
Alabama,Elmore,150784.328125,Dollars/store,1051,118
Alabama,Escambia,148498.171875,Dollars/store,1053,122
Alabama,Etowah,156642.703125,Dollars/store,1055,131
Alabama,Fayette,74313.359375,Dollars/store,1057,134
Alabama,Franklin,129105.8203125,Dollars/store,1059,138
Alabama,Geneva,64855.328125,Dollars/store,1061,140
Alabama,Greene,125394.2421875,Dollars/store,1063,148
Alabama,Hale,153736.609375,Dollars/store,1065,150
Alabama,Henry,53174.51171875,Dollars/store,1067,158
Alabama,Houston,110966.2734375,Dollars/store,1069,160
Alabama,Jackson,71070.0859375,Dollars/store,1071,164
Alabama,Jefferson,135000.46875,Dollars/store,1073,171
Alabama,Lamar,49199.703125,Dollars/store,1075,174
Alabama,Lauderdale,82345.203125,Dollars/store,1077,176
