State,County,Grocery stores per 1000 pop (% change) 2011-16 (PCH_GROCPTH_11_16),Units,FIPS,FID
Alabama,Autauga,-40.085748399,% change,1001,5
Alabama,Baldwin,-3.449328302,% change,1003,20
Alabama,Barbour,-29.254287266,% change,1005,25
Alabama,Bibb,-16.254289459,% change,1007,29
Alabama,Blount,-28.571428571,% change,1009,33
Alabama,Bullock,53.361746959,% change,1011,37
Alabama,Butler,4.583020285,% change,1013,39
Alabama,Calhoun,15.244499043,% change,1015,43
Alabama,Chambers,-11.685129163,% change,1017,47
Alabama,Cherokee,26.101257471,% change,1019,51
Alabama,Chilton,-28.80284215,% change,1021,56
Alabama,Choctaw,4.268199234,% change,1023,58
Alabama,Clarke,26.071457906,% change,1025,61
Alabama,Clay,2.073079791,% change,1027,65
Alabama,Cleburne,-33.086801587,% change,1029,67
Alabama,Coffee,37.859695023,% change,1031,70
Alabama,Colbert,-19.695179193,% change,1033,73
Alabama,Conecuh,-78.926088694,% change,1035,80
Alabama,Coosa,0,% change,1037,82
Alabama,Covington,-32.208134952,% change,1039,88
Alabama,Crenshaw,-33.376477074,% change,1041,90
Alabama,Cullman,12.706109032,% change,1043,98
Alabama,Dale,-23.660823109,% change,1045,101
Alabama,Dallas,7.921459045,% change,1047,110
Alabama,DeKalb,14.505568572,% change,1049,112
Alabama,Elmore,12.549764367,% change,1051,118
Alabama,Escambia,-32.041840111,% change,1053,122
Alabama,Etowah,-16.341930733,% change,1055,131
Alabama,Fayette,-41.088056942,% change,1057,134
Alabama,Franklin,67.669506286,% change,1059,138
Alabama,Geneva,-8.254364432,% change,1061,140
Alabama,Greene,4.936380773,% change,1063,148
Alabama,Hale,-58.623290901,% change,1065,150
Alabama,Henry,-32.225602621,% change,1067,158
Alabama,Houston,4.511005731,% change,1069,160
Alabama,Jackson,2.234432938,% change,1071,164
Alabama,Jefferson,4.590632291,% change,1073,171
Alabama,Lamar,2.423112768,% change,1075,174
Alabama,Lauderdale,0.307628982,% change,1077,176
Alabama,Lawrence,-48.773772268,% change,1079,181
Alabama,Lee,25.514435748,% change,1081,187
Alabama,Limestone,-29.19467532,% change,1083,197
Alabama,Lowndes,8.680792891,% change,1085,205
Alabama,Macon,-10.72147651,% change,1087,210
Alabama,Madison,15.347415807,% change,1089,217
Alabama,Marengo,-36.480902333,% change,1091,220
Alabama,Marion,-48.783503776,% change,1093,224
Alabama,Marshall,-1.213135107,% change,1095,231
Alabama,Mobile,-5.455390503,% change,1097,240
Alabama,Monroe,-11.922862971,% change,1099,250
Alabama,Montgomery,-1.80908525,% change,1101,256
Alabama,Morgan,-4.315940965,% change,1103,262
Alabama,Perry,-17.931034483,% change,1105,264
Alabama,Pickens,19.086881615,% change,1107,273
Alabama,Pike,-13.153319283,% change,1109,279
Alabama,Randolph,-24.193261623,% change,1111,284
Alabama,Russell,41.378035994,% change,1113,288
Alabama,St. Clair,12.30443596,% change,1115,292
Alabama,Shelby,-12.94464136,% change,1117,298
Alabama,Sumter,-58.270955769,% change,1119,303
Alabama,Talladega,-26.000683068,% change,1121,306
Alabama,Tallapoosa,2.020998669,% change,1123,308
Alabama,Tuscaloosa,-11.708872464,% change,1125,313
Alabama,Walker,3.122628212,% change,1127,317
Alabama,Washington,4.259281509,% change,1129,319
Alabama,Wilcox,-18.181353768,% change,1131,326
Alabama,Winston,-32.029974463,% change,1133,332
Alaska,Aleutians East,-1.865222623,% change,2013,346
Alaska,Aleutians West,29.621251668,% change,2016,381
Alaska,Anchorage,2.748740231,% change,2020,400
Alaska,Bethel,-3.136818687,% change,2050,411
Alaska,Bristol Bay,-24.125230203,% change,2060,423
Alaska,Denali,0,% change,2068,426
Alaska,Dillingham,-33.70846731,% change,2070,445
Alaska,Fairbanks North Star,-14.644838075,% change,2090,454
Alaska,Haines,1.698933228,% change,2100,462
Alaska,Hoonah-Angoon,0.0,% change,2105,476
Alaska,Juneau,-33.833256185,% change,2110,482
Alaska,Kenai Peninsula,-13.94827194,% change,2122,494
Alaska,Ketchikan Gateway,32.527136301,% change,2130,514
Alaska,Kodiak Island,1.030777104,% change,2150,533
Alaska,Lake and Peninsula,0,% change,2164,544
Alaska,Matanuska-Susitna,-26.592427546,% change,2170,556
Alaska,Nome,24.878130778,% change,2180,571
Alaska,North Slope,-21.12338668,% change,2185,614
Alaska,Northwest Arctic,14.927098482,% change,2188,638
Alaska,Petersburg,0.0,% change,2195,645
Alaska,Prince of Wales-Hyder,0.0,% change,2198,669
Alaska,Sitka,35.158150852,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,4.51754386,% change,2240,690
Alaska,Valdez-Cordova,19.20464974,% change,2261,710
Alaska,Wade Hampton,0.0,% change,2270,725
Alaska,Wrangell,0.0,% change,2275,733
Alaska,Yakutat,7.189542484,% change,2282,744
Alaska,Yukon-Koyukuk,-21.965077605,% change,2290,753
Arizona,Apache,-8.983649279,% change,4001,761
Arizona,Cochise,13.131081063,% change,4003,763
Arizona,Coconino,12.693551496,% change,4005,771
Arizona,Gila,-14.084684477,% change,4007,787
Arizona,Graham,-1.702544549,% change,4009,0
Arizona,Greenlee,78.094149434,% change,4011,1
Arizona,La Paz,-14.039300854,% change,4012,3
Arizona,Maricopa,-11.985024402,% change,4013,9
Arizona,Mohave,-23.725044097,% change,4015,15
Arizona,Navajo,-13.149452558,% change,4017,17
Arizona,Pima,3.444314539,% change,4019,21
Arizona,Pinal,-8.886453152,% change,4021,26
Arizona,Santa Cruz,47.631966514,% change,4023,32
Arizona,Yavapai,-14.819859447,% change,4025,35
Arizona,Yuma,-7.378280451,% change,4027,42
Arkansas,Arkansas,3.590447433,% change,5001,46
Arkansas,Ashley,-69.790780982,% change,5003,50
Arkansas,Baxter,14.830130375,% change,5005,54
Arkansas,Benton,21.211013645,% change,5007,59
Arkansas,Boone,39.518162996,% change,5009,62
Arkansas,Bradley,-30.625132829,% change,5011,68
Arkansas,Calhoun,-100.0,% change,5013,72
Arkansas,Carroll,-17.508174649,% change,5015,74
Arkansas,Chicot,-14.274193548,% change,5017,77
Arkansas,Clark,-49.184035477,% change,5019,86
Arkansas,Clay,40.550353103,% change,5021,93
Arkansas,Cleburne,-9.957669224,% change,5023,97
Arkansas,Cleveland,4.987893462,% change,5025,103
Arkansas,Columbia,-38.25126131,% change,5027,107
Arkansas,Conway,1.052883465,% change,5029,109
Arkansas,Craighead,14.804893796,% change,5031,114
Arkansas,Crawford,-0.738849002,% change,5033,115
Arkansas,Crittenden,-7.839416058,% change,5035,119
Arkansas,Cross,-21.658742736,% change,5037,124
Arkansas,Dallas,8.304172275,% change,5039,128
Arkansas,Desha,-28.819910515,% change,5041,130
Arkansas,Drew,0.520721495,% change,5043,136
Arkansas,Faulkner,-11.60001217,% change,5045,141
Arkansas,Franklin,1.822194556,% change,5047,144
Arkansas,Fulton,1.652961209,% change,5049,146
Arkansas,Garland,12.660390886,% change,5051,151
Arkansas,Grant,98.209351166,% change,5053,155
Arkansas,Greene,33.850833054,% change,5055,162
Arkansas,Hempstead,-38.736039226,% change,5057,172
Arkansas,Hot Spring,-0.947796448,% change,5059,184
Arkansas,Howard,-22.86240512,% change,5061,191
Arkansas,Independence,39.063999569,% change,5063,200
Arkansas,Izard,0.57079318,% change,5065,203
Arkansas,Jackson,3.321971229,% change,5067,209
Arkansas,Jefferson,24.678767254,% change,5069,213
Arkansas,Johnson,-2.226882745,% change,5071,218
Arkansas,Lafayette,8.732678984,% change,5073,222
Arkansas,Lawrence,-22.128733698,% change,5075,230
Arkansas,Lee,9.946581197,% change,5077,237
Arkansas,Lincoln,3.808834178,% change,5079,244
Arkansas,Little River,-30.576562081,% change,5081,251
Arkansas,Logan,-31.749029,% change,5083,258
Arkansas,Lonoke,-35.469245741,% change,5085,268
Arkansas,Madison,-51.393977026,% change,5087,277
Arkansas,Marion,-23.607123221,% change,5089,282
Arkansas,Miller,-0.28034827,% change,5091,287
Arkansas,Mississippi,-28.473825347,% change,5093,294
Arkansas,Monroe,-16.05390463,% change,5095,300
Arkansas,Montgomery,5.006145938,% change,5097,304
Arkansas,Nevada,7.535228087,% change,5099,307
Arkansas,Newton,-47.502859321,% change,5101,311
Arkansas,Ouachita,7.115200466,% change,5103,316
Arkansas,Perry,102.024725007,% change,5105,318
Arkansas,Phillips,-15.728346457,% change,5107,322
Arkansas,Pike,-16.930757142,% change,5109,327
Arkansas,Poinsett,-15.1671665,% change,5111,333
Arkansas,Polk,-48.974728166,% change,5113,337
Arkansas,Pope,30.831715008,% change,5115,340
Arkansas,Prairie,3.977753597,% change,5117,345
Arkansas,Pulaski,-8.218412556,% change,5119,350
Arkansas,Randolph,-38.062959559,% change,5121,353
Arkansas,St. Francis,-8.824296142,% change,5123,357
