State,County,Households no car & low access to store 2015 (LACCESS_HHNV15),Units,FIPS,FID
Alabama,Autauga,677.672769180102,Count,1001,5
Alabama,Baldwin,1394.16276629172,Count,1003,20
Alabama,Barbour,425.144927366927,Count,1005,25
Alabama,Bibb,224.388124619995,Count,1007,29
Alabama,Blount,719.93144402445,Count,1009,33
Alabama,Bullock,415.861300840738,Count,1011,37
Alabama,Butler,320.168301040939,Count,1013,39
Alabama,Calhoun,1235.28962949462,Count,1015,43
Alabama,Chambers,730.201066732426,Count,1017,47
Alabama,Cherokee,299.886922835486,Count,1019,51
Alabama,Chilton,641.110768419032,Count,1021,56
Alabama,Choctaw,423.036623630144,Count,1023,58
Alabama,Clarke,943.721325918435,Count,1025,61
Alabama,Clay,192.889038652225,Count,1027,65
Alabama,Cleburne,209.263951717192,Count,1029,67
Alabama,Coffee,543.293109883474,Count,1031,70
Alabama,Colbert,682.269933415689,Count,1033,73
Alabama,Conecuh,325.663210287289,Count,1035,80
Alabama,Coosa,280.171988905734,Count,1037,82
Alabama,Covington,512.542724391759,Count,1039,88
Alabama,Crenshaw,250.875564487816,Count,1041,90
Alabama,Cullman,1050.95304319893,Count,1043,98
Alabama,Dale,615.093547568742,Count,1045,101
Alabama,Dallas,988.809981243482,Count,1047,110
Alabama,DeKalb,739.942762884541,Count,1049,112
Alabama,Elmore,981.291671800504,Count,1051,118
Alabama,Escambia,567.596761925809,Count,1053,122
Alabama,Etowah,1360.39706175636,Count,1055,131
Alabama,Fayette,444.921984173921,Count,1057,134
Alabama,Franklin,456.155880042152,Count,1059,138
Alabama,Geneva,253.36257789519,Count,1061,140
Alabama,Greene,314.042253351283,Count,1063,148
Alabama,Hale,601.978297867384,Count,1065,150
Alabama,Henry,317.645713623204,Count,1067,158
Alabama,Houston,918.318119896023,Count,1069,160
Alabama,Jackson,755.931736512762,Count,1071,164
Alabama,Jefferson,7229.28465960374,Count,1073,171
Alabama,Lamar,238.556104531401,Count,1075,174
Alabama,Lauderdale,1245.42292489927,Count,1077,176
Alabama,Lawrence,473.150448367564,Count,1079,181
Alabama,Lee,1269.09094078894,Count,1081,187
Alabama,Limestone,838.978123072761,Count,1083,197
Alabama,Lowndes,455.867213076622,Count,1085,205
Alabama,Macon,890.325868078622,Count,1087,210
Alabama,Madison,2335.56221452213,Count,1089,217
Alabama,Marengo,574.561647014369,Count,1091,220
Alabama,Marion,535.505579713287,Count,1093,224
Alabama,Marshall,1136.22718066232,Count,1095,231
Alabama,Mobile,3247.75479580525,Count,1097,240
Alabama,Monroe,827.402210033984,Count,1099,250
Alabama,Montgomery,2820.68272431106,Count,1101,256
Alabama,Morgan,978.983577911093,Count,1103,262
Alabama,Perry,349.45614301185,Count,1105,264
Alabama,Pickens,477.719080670361,Count,1107,273
Alabama,Pike,563.044138046493,Count,1109,279
Alabama,Randolph,457.705892566392,Count,1111,284
Alabama,Russell,603.534576621064,Count,1113,288
Alabama,St. Clair,683.496463577403,Count,1115,292
Alabama,Shelby,1358.98121481256,Count,1117,298
Alabama,Sumter,593.560549344615,Count,1119,303
Alabama,Talladega,1244.8620376132,Count,1121,306
Alabama,Tallapoosa,1064.98501845329,Count,1123,308
Alabama,Tuscaloosa,1416.14572933136,Count,1125,313
Alabama,Walker,1195.2967281135,Count,1127,317
Alabama,Washington,275.089853809406,Count,1129,319
Alabama,Wilcox,597.505152227886,Count,1131,326
Alabama,Winston,407.148082712367,Count,1133,332
Alaska,Aleutians East,121.317044811796,Count,2013,346
Alaska,Aleutians West,139.500831592628,Count,2016,381
Alaska,Anchorage,993.547272160269,Count,2020,400
Alaska,Bethel,2488.9857470157,Count,2050,411
