State,County,Full-service restaurants per 1000 pop (% change) 2011-16 (PCH_FSRPTH_11_16),Units,FIPS,FID
Alabama,Autauga,-3.263447936,% change,1001,5
Alabama,Baldwin,-1.784661549,% change,1003,20
Alabama,Barbour,-12.608237211,% change,1005,25
Alabama,Bibb,40.692793708,% change,1007,29
Alabama,Blount,-20.0,% change,1009,33
Alabama,Bullock,-48.87941768,% change,1011,37
Alabama,Butler,-32.768058388,% change,1013,39
Alabama,Calhoun,-1.500428168,% change,1015,43
Alabama,Chambers,0.931280956,% change,1017,47
Alabama,Cherokee,72.938867389,% change,1019,51
Alabama,Chilton,9.16897537,% change,1021,56
Alabama,Choctaw,21.646232439,% change,1023,58
Alabama,Clarke,5.059548255,% change,1025,61
Alabama,Clay,36.097439722,% change,1027,65
Alabama,Cleburne,-33.086801587,% change,1029,67
Alabama,Coffee,45.36226346,% change,1031,70
Alabama,Colbert,16.571514075,% change,1033,73
Alabama,Conecuh,-36.778266081,% change,1035,80
Alabama,Coosa,nan,% change,1037,82
Alabama,Covington,1.687797571,% change,1039,88
Alabama,Crenshaw,-33.376477074,% change,1041,90
Alabama,Cullman,-4.541340987,% change,1043,98
Alabama,Dale,-8.392987731,% change,1045,101
Alabama,Dallas,-28.052360636,% change,1047,110
Alabama,DeKalb,-2.843759999,% change,1049,112
Alabama,Elmore,9.423382023,% change,1051,118
Alabama,Escambia,7.600419824,% change,1053,122
Alabama,Etowah,11.168269942,% change,1055,131
Alabama,Fayette,32.551871879,% change,1057,134
Alabama,Franklin,-4.987279771,% change,1059,138
Alabama,Geneva,113.053753708,% change,1061,140
Alabama,Greene,nan,% change,1063,148
Alabama,Hale,-17.246581801,% change,1065,150
Alabama,Henry,-9.634136828,% change,1067,158
Alabama,Houston,-7.942040201,% change,1069,160
Alabama,Jackson,-8.341542883,% change,1071,164
Alabama,Jefferson,1.253010545,% change,1073,171
Alabama,Lamar,-40.253184219,% change,1075,174
Alabama,Lauderdale,0.307628982,% change,1077,176
Alabama,Lawrence,-14.622953779,% change,1079,181
Alabama,Lee,-6.603736363,% change,1081,187
Alabama,Limestone,9.46120464,% change,1083,197
Alabama,Lowndes,8.680792891,% change,1085,205
Alabama,Macon,67.397231544,% change,1087,210
Alabama,Madison,-10.718487253,% change,1089,217
Alabama,Marengo,15.489268486,% change,1091,220
Alabama,Marion,26.534873023,% change,1093,224
Alabama,Marshall,-7.200217828,% change,1095,231
Alabama,Mobile,5.411994396,% change,1097,240
Alabama,Monroe,-4.876692008,% change,1099,250
Alabama,Montgomery,9.376403064,% change,1101,256
Alabama,Morgan,4.257899451,% change,1103,262
Alabama,Perry,-6.206896552,% change,1105,264
Alabama,Pickens,-52.365247354,% change,1107,273
Alabama,Pike,26.823724221,% change,1109,279
Alabama,Randolph,-35.679131074,% change,1111,284
Alabama,Russell,-1.463793095,% change,1113,288
Alabama,St. Clair,-5.977681522,% change,1115,292
Alabama,Shelby,-11.41550423,% change,1117,298
Alabama,Sumter,25.187132694,% change,1119,303
Alabama,Talladega,-0.512029458,% change,1121,306
Alabama,Tallapoosa,-11.890955695,% change,1123,308
Alabama,Tuscaloosa,4.803954632,% change,1125,313
Alabama,Walker,11.716180563,% change,1127,317
Alabama,Washington,-25.529084636,% change,1129,319
Alabama,Wilcox,-57.92183908,% change,1131,326
Alabama,Winston,-24.641928209,% change,1133,332
Alaska,Aleutians East,nan,% change,2013,346
Alaska,Aleutians West,94.431877501,% change,2016,381
Alaska,Anchorage,10.855315696,% change,2020,400
Alaska,Bethel,-3.136818687,% change,2050,411
Alaska,Bristol Bay,13.812154696,% change,2060,423
Alaska,Denali,-31.41809291,% change,2068,426
Alaska,Dillingham,-33.70846731,% change,2070,445
Alaska,Fairbanks North Star,16.049382716,% change,2090,454
Alaska,Haines,-27.357904837,% change,2100,462
Alaska,Hoonah-Angoon,0.0,% change,2105,476
Alaska,Juneau,9.884056693,% change,2110,482
Alaska,Kenai Peninsula,-2.410194216,% change,2122,494
Alaska,Ketchikan Gateway,7.678298244,% change,2130,514
Alaska,Kodiak Island,1.030777104,% change,2150,533
Alaska,Lake and Peninsula,0.0,% change,2164,544
Alaska,Matanuska-Susitna,3.408928153,% change,2170,556
Alaska,Nome,97.175995966,% change,2180,571
Alaska,North Slope,-34.2694889,% change,2185,614
Alaska,Northwest Arctic,nan,% change,2188,638
Alaska,Petersburg,0.0,% change,2195,645
Alaska,Prince of Wales-Hyder,0.0,% change,2198,669
Alaska,Sitka,-11.302463504,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,-37.289473684,% change,2240,690
Alaska,Valdez-Cordova,-2.649536046,% change,2261,710
Alaska,Wade Hampton,0.0,% change,2270,725
Alaska,Wrangell,0.0,% change,2275,733
Alaska,Yakutat,0.0,% change,2282,744
Alaska,Yukon-Koyukuk,-30.635624538,% change,2290,753
Arizona,Apache,22.799838274,% change,4001,761
Arizona,Cochise,-0.932604151,% change,4003,763
Arizona,Coconino,9.381274813,% change,4005,771
Arizona,Gila,6.248606863,% change,4007,787
Arizona,Graham,-7.484747811,% change,4009,0
Arizona,Greenlee,3.888253836,% change,4011,1
Arizona,La Paz,11.859114914,% change,4012,3
Arizona,Maricopa,1.091091467,% change,4013,9
Arizona,Mohave,-4.328426351,% change,4015,15
Arizona,Navajo,1.977159423,% change,4017,17
Arizona,Pima,1.339125181,% change,4019,21
Arizona,Pinal,0.658775566,% change,4021,26
Arizona,Santa Cruz,-1.69871498,% change,4023,32
Arizona,Yavapai,-2.829651423,% change,4025,35
Arizona,Yuma,3.719252767,% change,4027,42
Arkansas,Arkansas,12.22298472,% change,5001,46
Arkansas,Ashley,-17.763792674,% change,5003,50
Arkansas,Baxter,-12.744210143,% change,5005,54
